Medicare Part C Display Measures,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Breast Cancer Screening - C01,Colorectal Cancer Screening - C02,Care for Older Adults – Medication Review - C06,Care for Older Adults – Pain Assessment - C07,Osteoporosis Management in Women who had a Fracture - C08,Diabetes Care – Eye Exam - C09,Diabetes Care – Kidney Disease Monitoring - C10,Diabetes Care – Blood Sugar Controlled - C11,Rheumatoid Arthritis Management - C12,Medication Reconciliation Post-Discharge - C15,Statin Therapy for Patients with Cardiovascular Disease - C16
H3467,ProCare Advantage,"PROCARE ADVANTAGE, LLC",First Sacramento Capital Funding LLC,Not enough data available,Not enough data available,79%,32%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3572,AHF,"AHF MCO OF GEORGIA, INC.",AIDS Healthcare Foundation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3632,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3708,American Health Advantage of Oklahoma,"OKLAHOMA SUPERIOR SELECT, INC.","American Health Companies, Inc.",Not enough data available,Not enough data available,91%,97%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3725,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF ILLINOIS,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4490,American Health Advantage of Missouri,"MISSOURI MEDICARE SELECT, LLC","American Health Companies, Inc.",Not enough data available,Not enough data available,86%,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4676,Troy Medicare,"TROY HEALTH, INC.","Troy Holdings, Inc.",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,23%,92%,6%,Not enough data available,0%,Not enough data available
H4709,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA,"Bright Health Group, Inc.",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,16%,Not enough data available
H4937,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4961,Alignment Health Plan,ALIGNMENT HEALTH PLAN,"Alignment Healthcare USA, LLC",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,62%,100%,80%,Not enough data available,38%,Not enough data available
H5015,Texas Independence Health Plan,"TEXAS INDEPENDENCE HEALTH PLAN, INC.",Regency ISNP Holdings LLC,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,62%,94%,46%,Not enough data available,Not enough data available,Not enough data available
H5140,Blue Cross Blue Shield of Arizona,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross Blue Shield of Arizona,81%,87%,Plan not required to report measure,Plan not required to report measure,Not enough data available,43%,98%,73%,Not enough data available,27%,Not enough data available
H5178,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5232,Paramount Elite Medicare Plans,"PARAMOUNT CARE, INC.","Promedica Health System, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5377,Humana,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.",Humana Inc.,Not enough data available,84%,Plan not required to report measure,Plan not required to report measure,Not enough data available,86%,98%,86%,Not enough data available,91%,Not enough data available
H5398,Ascension Complete,CENTENE VENTURE COMPANY KANSAS,Centene Corporation,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,40%,84%,40%,Not enough data available,31%,Not enough data available
H5454,Clear Spring Health,"CLEAR SPRING HEALTH OF ILLINOIS, INC.",Group 1001,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5528,EmblemHealth Medicare PPO,"EmblemHealth, Inc.","EmblemHealth, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5613,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",49%,53%,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5644,Network Health Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,"Network Health, Inc.",70%,73%,Plan not required to report measure,Plan not required to report measure,Not enough data available,63%,95%,93%,Not enough data available,91%,Not enough data available
H5742,FirstCare Advantage,"SHA, L.L.C",Baylor Scott & White Holdings,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5841,Bright Health,BRIGHT HEALTH INSURANCE COMPANY,"Bright Health Group, Inc.",Not enough data available,39%,Plan not required to report measure,Plan not required to report measure,Not enough data available,63%,97%,69%,Not enough data available,43%,Not enough data available
H5965,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON,Centene Corporation,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5989,Healthfirst Medicare Plan,"HEALTHFIRST HEALTH PLAN, INC.","Healthfirst, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","Molina Healthcare, Inc.,",Not enough data available,Not enough data available,49%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,23%,Not enough data available
H6121,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF ILLINOIS,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6348,Wellcare by Allwell,COORDINATED CARE CORPORATION,Centene Corporation,49%,65%,Plan not required to report measure,Plan not required to report measure,Not enough data available,49%,88%,65%,Not enough data available,48%,Not enough data available
H6379,Clear Spring Health,"CLEAR SPRING HEALTH (CO), INC.",Group 1001,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6%,Not enough data available
H6446,Wellcare by Allwell,"SILVERSUMMIT HEALTHPLAN, INC.",Centene Corporation,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,43%,91%,63%,Not enough data available,Not enough data available,Not enough data available
H6672,Clear Spring Health,"EON HEALTH, INC. (GA)",Group 1001,15%,35%,52%,45%,Not enough data available,29%,89%,40%,Not enough data available,33%,Not enough data available
H6776,RiverSpring Health Plans,"ELDERSERVE HEALTH, INC.",Riverspring Health Holding Corp.,Not enough data available,Not enough data available,28%,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6832,Align Senior Care,"ALIGN SENIOR CARE MI, LLC","Innovative Long Term Care Management, Inc.",Not enough data available,Not enough data available,76%,95%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6959,KeyCare Advantage,"ISNP VENTURES, LLC","ISNP Holdings, LLC",Not enough data available,Not enough data available,97%,99%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6975,Wellcare,"WELLCARE OF ALABAMA, INC.",Centene Corporation,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7119,Provider Partners Health Plans,PROVIDER PARTNERS HEALTH PLAN OF OHIO,"Rifkin Managed Care Holding, LLC",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7165,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),Not enough data available,43%,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7330,Zing Health,"ZING HEALTH, INC.","Zing Health Consolidator, Inc",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,3%,87%,0%,Not enough data available,0%,Not enough data available
H7399,Ascension Complete,CENTENE VENTURE COMPANY ILLINOIS,Centene Corporation,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,57%,97%,35%,Not enough data available,29%,Not enough data available
H7409,Bright Health,"BRIGHT HEALTH COMPANY OF SOUTH CAROLINA, INC.","Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7445,UnitedHealthcare,"UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7518,Wellcare,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC",Centene Corporation,Not enough data available,Not enough data available,No data available,No data available,Benefit not offered by plan,Not enough data available,Not enough data available,Not enough data available,Benefit not offered by plan,Not enough data available,Benefit not offered by plan
H7559,Magellan Complete Care,"MAGELLAN COMPLETE CARE OF VIRGINIA, LLC.","Molina Healthcare, Inc.,",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7617,Humana,EMPHESYS INSURANCE COMPANY,Humana Inc.,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8067,Provider Partners Health Plans,"PROVIDER PARTNERS HEALTH PLAN, INC.","Rifkin Managed Care Holding, LLC",Not enough data available,Not enough data available,99%,99%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8280,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF ALABAMA, INC.","Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8364,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF ALABAMA, INC.","Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8492,Dignity Health Plan,DIGNITY CARE CORPORATION,CommCare Corporation,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8845,Magellan Complete Care,"MAGELLAN COMPLETE CARE OF ARIZONA, INC.","Molina Healthcare, Inc.,",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8967,Great Plains Medicare Advantage,"GOOD SAMARITAN INSURANCE PLAN OF NORTH DAKOTA, LLC",Sanford Health,Not enough data available,Not enough data available,96%,98%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9066,Nascentia Health Plus,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9095,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF OKLAHOMA, INC.","Longevity Health Founders, LLC",Not enough data available,Not enough data available,99%,92%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9104,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Group,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9403,Clear Spring Health,"EON HEALTH, INC. (SC)",Group 1001,32%,57%,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9412,Geisinger Gold,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9428,Wellcare,"WELLCARE HEALTH INSURANCE OF TENNESSEE, INC.",Centene Corporation,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9455,Health Choice Generations Utah,"HEALTH CHOICE UTAH, INC.",University of Utah,52%,52%,66%,64%,Not enough data available,52%,85%,63%,Not enough data available,27%,Not enough data available
H9516,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK,"Bright Health Group, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9589,Clear Spring Health,"EON HEALTH, INC. (GA)",Group 1001,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,29%,87%,35%,Not enough data available,12%,Not enough data available
H9590,Longevity Health,"LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health Founders, LLC",Not enough data available,Not enough data available,92%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9826,Community Health Choice,"COMMUNITY HEALTH CHOICE TEXAS, INC.",Harris County Hospital District,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9861,Reliance Medicare Advantage,"RELIANCE HMO, INC.","RELIANCE HMO, INC",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,36%,97%,56%,Not enough data available,30%,Not enough data available
H9878,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF OHIO, INC.","Bright Health Group, Inc.",Not enough data available,23%,Plan not required to report measure,Plan not required to report measure,Not enough data available,39%,94%,27%,Not enough data available,Not enough data available,Not enough data available
H9909,American Health Advantage of MS,"AMERICAN HEALTH PLAN OF MS, INC.","American Health Companies, Inc.",Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9942,Longevity Health Plan,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP,"Longevity Health Founders, LLC",Not enough data available,Not enough data available,100%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
