2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions (18+) - DMC23,Plan All-Cause Readmissions (18-64) - DMC24,Plan All-Cause Readmissions (65+) - DMC25,Physical Functioning Activities of Daily Living - DMC26,Care of Older Adults - Functional Status - DMC27,Kidney Health Evaluation for Patients With Diabetes - DMC28,Improving or Maintaining Physical Health - DMC29,Improving or Maintaining Mental Health - DMC30,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0104,Blue Cross and Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,48%,61%,88%,86%,34%,93,0:09,68%,96%,0.78%,70%,79%,27%,4%,14%,65%,53%,77%,50%,91%,16%,58%,12%,12%,12%,98%,Plan not required to report measure,32%,69%,80%,0.78%,0:09,100,0:14,93,49%,19%,11%,19%,17.26%,4.66%,0.24%,5.51%,5.85%,2.21,12%,9%,27%,Not Available,8%,100
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Not enough data available,63%,97%,83%,37%,93,0:26,80%,95%,2.68%,75%,82%,49%,6%,11%,66%,58%,74%,31%,81%,24%,52%,10%,10%,10%,95%,Plan not required to report measure,40%,66%,83%,2.68%,0:26,100,0:18,94,37%,16%,9%,13%,13.75%,6.44%,0.17%,5.81%,3.92%,5.12,20%,19%,42%,11%,12%,100
H0111,Wellcare,"WELLCARE OF GEORGIA, INC.",Centene Corporation,34%,66%,Not enough data available,73%,Not enough data available,No data available,1:17,58%,95%,2.50%,61%,78%,33%,4%,15%,53%,47%,59%,16%,80%,12%,42%,15%,13%,16%,No data available,No data available,37%,No data available,No data available,2.50%,1:17,98,0:36,91,57%,30%,10%,No data available,14.50%,7.63%,1.04%,7.33%,6.07%,6.17,23%,31%,20%,Not Available,16%,80
H0137,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",71%,59%,98%,Not enough data available,24%,No data available,0:21,Plan too small to be measured,96%,1.60%,78%,88%,41%,12%,33%,58%,75%,44%,66%,90%,45%,61%,11%,12%,11%,89%,Plan not required to report measure,43%,85%,87%,1.60%,0:21,100,0:03,58,No data available,No data available,6%,No data available,32.48%,11.36%,0.76%,17.60%,15.89%,0.04,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0148,Blue Shield of California Promise Health Plan,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,California Physicians' Service,35%,62%,Not enough data available,58%,15%,No data available,0:16,Plan too small to be measured,81%,2.34%,56%,86%,36%,6%,15%,59%,44%,52%,10%,76%,3%,35%,15%,13%,16%,90%,Plan not required to report measure,55%,70%,85%,2.34%,0:16,101,0:11,89,No data available,No data available,4%,3%,13.12%,3.66%,0.29%,9.18%,5.83%,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0154,VIVA Medicare,"VIVA HEALTH, INC.","Triton Health Systems, L.L.C.",41%,59%,89%,82%,29%,92,0:19,66%,97%,0.00%,70%,77%,27%,3%,15%,75%,52%,81%,53%,86%,43%,66%,9%,8%,10%,94%,88%,34%,68%,79%,0.00%,0:19,100,0:39,88,57%,37%,11%,13%,19.01%,3.04%,0.63%,10.74%,8.17%,1.65,12%,16%,20%,Not Available,9%,100
H0169,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",61%,66%,90%,61%,25%,91,0:30,62%,97%,0.59%,74%,85%,36%,5%,26%,60%,58%,56%,11%,82%,6%,39%,14%,14%,15%,No data available,72%,33%,No data available,No data available,0.59%,0:30,100,0:39,64,58%,44%,8%,10%,25.68%,7.17%,0.67%,17.53%,13.74%,1.43,10%,23%,15%,Not Available,9%,100
H0174,Wellcare,"WELLCARE OF TEXAS, INC.",Centene Corporation,35%,50%,79%,62%,32%,No data available,0:26,55%,89%,1.06%,64%,79%,29%,3%,15%,59%,47%,48%,6%,73%,3%,32%,13%,11%,13%,91%,67%,45%,68%,77%,1.06%,0:26,100,0:36,92,63%,53%,6%,3%,12.45%,1.36%,0.38%,7.66%,4.60%,7.86,31%,37%,17%,Not Available,25%,80
H0192,AmeriHealth Caritas VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Health Group,39%,60%,Not enough data available,57%,24%,No data available,0:31,Plan too small to be measured,85%,3.91%,65%,96%,42%,10%,29%,52%,53%,46%,12%,73%,10%,35%,16%,13%,18%,92%,Plan not required to report measure,34%,72%,85%,3.91%,0:31,101,0:07,83,No data available,No data available,5%,2%,18.89%,5.76%,1.09%,7.36%,8.85%,0,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0251,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",54%,60%,93%,61%,27%,92,0:52,55%,96%,3.14%,73%,85%,37%,8%,27%,58%,53%,67%,12%,82%,9%,43%,14%,14%,15%,93%,73%,29%,69%,75%,3.14%,0:52,100,0:39,63,67%,52%,7%,6%,20.36%,7.33%,0.70%,15.72%,10.77%,2.5,13%,24%,12%,5%,6%,100
H0270,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,0:26,Plan too small to be measured,Plan too small to be measured,1.06%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,1.06%,0:26,101,0:36,90,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0271,UnitedHealthcare,UnitedHealthcare Insurance Company of America,"UnitedHealth Group, Inc.",57%,65%,93%,71%,35%,Plan too new to be measured,0:53,67%,97%,2.08%,76%,85%,40%,8%,19%,51%,58%,57%,17%,84%,11%,42%,12%,12%,13%,No data available,70%,37%,No data available,No data available,2.08%,0:53,100,0:39,62,60%,43%,7%,5%,20.76%,10.70%,0.65%,13.17%,8.75%,5.8,13%,10%,25%,Not Available,13%,100
H0292,Humana,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana Inc.,48%,71%,Not enough data available,83%,24%,93,0:23,79%,98%,1.07%,83%,74%,81%,11%,20%,76%,83%,89%,22%,89%,12%,53%,12%,11%,12%,No data available,Plan not required to report measure,43%,No data available,No data available,1.07%,0:23,100,0:15,89,58%,29%,7%,No data available,19.44%,7.04%,0.33%,6.98%,5.38%,2.31,15%,13%,24%,Not Available,15%,100
H0294,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",59%,71%,91%,86%,29%,No data available,0:30,81%,95%,2.76%,79%,73%,45%,8%,12%,59%,62%,69%,31%,89%,14%,51%,11%,14%,11%,97%,76%,47%,69%,80%,2.76%,0:30,101,0:39,61,55%,19%,8%,10%,12.92%,5.69%,0.51%,6.80%,3.60%,3.81,17%,22%,34%,Not Available,14%,100
H0302,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona,55%,72%,91%,89%,39%,90,0:17,80%,95%,4.76%,78%,80%,26%,1%,18%,68%,55%,63%,13%,86%,10%,43%,13%,14%,13%,98%,Plan not required to report measure,61%,65%,86%,4.76%,0:17,100,0:15,94,40%,18%,9%,6%,11.41%,9.94%,0.16%,6.56%,3.78%,7.73,10%,23%,26%,9%,9%,80
H0321,UnitedHealthcare,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",72%,59%,87%,70%,31%,No data available,1:05,52%,95%,3.50%,67%,82%,36%,7%,19%,57%,63%,65%,5%,86%,5%,40%,14%,14%,14%,91%,66%,40%,66%,78%,3.50%,1:05,100,0:39,62,56%,47%,9%,5%,9.16%,15.41%,0.36%,13.69%,7.05%,1.61,17%,21%,12%,4%,9%,100
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",42%,54%,82%,88%,40%,94,1:51,85%,96%,11.72%,75%,82%,16%,1%,13%,89%,63%,90%,96%,91%,60%,84%,13%,14%,13%,97%,Plan not required to report measure,85%,72%,83%,11.72%,1:51,103,0:23,60,63%,28%,10%,0%,13.75%,No data available,0.18%,3.63%,3.83%,2.01,14%,27%,25%,10%,15%,100
H0336,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,48%,85%,Not enough data available,60%,19%,No data available,0:24,Plan too small to be measured,90%,2.34%,68%,87%,59%,11%,19%,71%,61%,70%,24%,87%,17%,49%,12%,10%,13%,92%,Plan not required to report measure,50%,68%,82%,2.34%,0:24,100,0:16,85,No data available,No data available,5%,5%,21.44%,3.32%,0.51%,7.19%,6.31%,0.04,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0342,CarePartners of Connecticut,"CAREPARTNERS OF CONNECTICUT, INC.","Point32Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,0.00%,0:05,No data available,0:39,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,Wellcare by Allwell,"HEALTH NET OF ARIZONA, INC.",Centene Corporation,43%,60%,Not enough data available,78%,38%,89,0:17,63%,94%,11.72%,67%,84%,19%,2%,14%,65%,61%,69%,12%,82%,8%,43%,13%,13%,14%,97%,87%,54%,69%,81%,11.72%,0:17,102,2:30,82,51%,29%,7%,No data available,8.63%,7.47%,0.26%,5.12%,4.71%,6.74,17%,30%,26%,16%,17%,100
H0354,Cigna,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,59%,62%,82%,86%,34%,90,0:12,77%,95%,1.56%,70%,78%,24%,2%,13%,77%,68%,83%,43%,89%,10%,56%,13%,12%,13%,96%,85%,56%,67%,80%,1.56%,0:12,94,0:09,50,50%,29%,8%,No data available,9.03%,7.14%,0.19%,5.48%,3.99%,9.94,17%,31%,17%,7%,12%,100
H0363,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:10,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,1.56%,0:10,No data available,0:03,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0422,UCare,"UCARE HEALTH, INC.",UCare Minnesota,Not enough data available,Not enough data available,Not enough data available,86%,Not enough data available,Plan too new to be measured,0:06,Plan too small to be measured,94%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,72%,59%,47%,45%,73%,22%,47%,7%,0%,9%,No data available,Plan not required to report measure,9%,No data available,No data available,0.00%,0:06,98,0:09,48,Plan too new to be measured,Plan too new to be measured,No data available,No data available,11.40%,6.12%,No data available,4.34%,6.96%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,55%,55%,Not enough data available,62%,42%,No data available,0:36,67%,94%,2.36%,77%,94%,51%,12%,21%,78%,51%,63%,45%,80%,40%,57%,12%,13%,12%,91%,87%,16%,70%,81%,7.09%,0:08,101,0:39,90,67%,57%,9%,No data available,11.00%,12.61%,No data available,8.88%,6.75%,1.06,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0432,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",39%,61%,84%,68%,29%,91,0:54,51%,96%,2.12%,64%,81%,42%,4%,18%,60%,48%,60%,13%,81%,7%,40%,12%,12%,13%,No data available,77%,29%,No data available,No data available,2.12%,0:54,100,0:39,61,61%,40%,8%,13%,15.35%,2.41%,0.78%,12.90%,8.01%,6.8,17%,32%,20%,Not Available,13%,100
H0439,Cigna,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,41%,64%,80%,79%,39%,92,0:47,73%,96%,0.62%,68%,79%,35%,3%,20%,59%,53%,87%,33%,84%,13%,54%,10%,12%,10%,94%,90%,48%,67%,80%,0.62%,0:47,96,0:09,50,57%,38%,11%,16%,18.10%,6.39%,0.49%,7.72%,7.58%,9.4,26%,23%,25%,Not Available,15%,100
H0473,Humana,HUMANA INSURANCE COMPANY OF KENTUCKY,Humana Inc.,44%,65%,Not enough data available,79%,37%,Plan too new to be measured,0:23,70%,96%,1.05%,72%,79%,52%,6%,17%,69%,63%,89%,12%,91%,5%,49%,12%,9%,13%,No data available,No data available,33%,No data available,No data available,1.05%,0:23,100,0:15,88,61%,32%,4%,1%,12.16%,3.33%,0.37%,7.43%,4.95%,1.9,14%,18%,23%,Not Available,14%,100
