CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Not enough data available,85%,Not enough data available,Not enough data available,56%,No data available,Not enough data available,No data available,0:23,No data available,89%,2.45%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,73%,100.00%,2.45%,0:23,2.6%,No data available,100%,No data available,No data available,No data available,0:05,No data available,0.0%,0.0%,No data available,No data available,88%,No Data Available,No data available,No data available,No data available,No data available,No data available
H0108,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,47%,93%,49%,87%,90%,79%,24%,Not enough data available,0:27,72%,94%,0.37%,69%,83%,22%,1%,53%,46%,42%,81%,Not enough data available,52%,33%,100%,100.00%,0.37%,0:27,4.8%,0.73%,No data available,99,23.08%,Not enough data available,0:04,98,No data available,No data available,47%,24%,95%,CMS Found Issues with Plan's Data,23%,32%,30%,11%,17%
H0137,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",55%,96%,54%,Not enough data available,90%,No data available,Not enough data available,93%,0:04,55%,97%,6.80%,74%,86%,44%,7%,68%,54%,45%,92%,Not enough data available,59%,No data available,100%,100.00%,6.80%,0:04,5.0%,1.32%,100%,99,No data available,90%,0:03,99,0.0%,0.0%,50%,33%,No data available,1.14,No data available,No data available,No data available,No data available,No data available
H0141,McLaren Advantage,"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,Not enough data available,72%,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,0:05,No data available,100%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,0.00%,0:05,10.9%,0.00%,100%,100,No data available,No data available,0:16,99,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H0147,Anthem HealthKeepers,"HEALTHKEEPERS, INC.",Anthem Inc.,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:01,55%,No data available,1.14%,No data available,No data available,No data available,No data available,63%,41%,34%,83%,Plan too new to be measured,58%,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0148,Care1st Health Plan,CARE1ST HEALTH PLAN,Care1st Health Plan,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:03,51%,No data available,28.37%,No data available,No data available,No data available,No data available,51%,46%,38%,81%,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0150,Cigna-HealthSpring,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,37%,79%,45%,83%,95%,70%,35%,Not enough data available,0:07,64%,96%,4.14%,71%,78%,26%,1%,60%,51%,52%,81%,Not enough data available,53%,36%,0%,50.00%,4.14%,0:07,6.3%,0.95%,100%,97,23.66%,Not enough data available,0:03,99,0.0%,0.0%,42%,28%,96%,2.36,18%,32%,22%,9%,16%
H0151,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",37%,85%,45%,91%,92%,65%,33%,Not enough data available,0:47,67%,95%,2.95%,69%,80%,36%,2%,61%,52%,43%,76%,Not enough data available,53%,32%,100%,100.00%,2.95%,0:47,7.8%,1.01%,100%,98,22.02%,Not enough data available,0:04,98,0.0%,0.0%,44%,27%,96%,5.01,17%,46%,10%,7%,9%
H0154,VIVA Medicare,"VIVA HEALTH, INC.",UAB Health System,30%,65%,47%,89%,94%,73%,31%,90%,0:25,69%,96%,0.00%,67%,70%,27%,1%,63%,42%,43%,80%,Not enough data available,53%,32%,100%,No data available,0.00%,0:25,7.3%,0.17%,100%,103,13.04%,89%,0:10,97,No data available,0.0%,48%,40%,99%,0.87,8%,20%,24%,4%,5%
H0174,Universal American Corp.,"TODAY'S OPTIONS OF TEXAS, INC.",Universal American Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0192,AmeriHealth Caritas VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0251,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",67%,88%,42%,91%,94%,61%,30%,Not enough data available,0:09,63%,95%,4.81%,70%,82%,27%,3%,61%,49%,45%,81%,Not enough data available,53%,33%,100%,100.00%,4.81%,0:09,7.8%,1.24%,100%,98,23.48%,Not enough data available,0:04,99,0.0%,0.0%,44%,30%,No data available,0.79,18%,39%,10%,1%,9%
H0281,IlliniCare Health,ILLINICARE HEALTH PLAN,Centene Corporation,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:38,57%,No data available,0.00%,No data available,No data available,No data available,No data available,64%,46%,46%,88%,98%,56%,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Care Improvement Plus,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",74%,91%,68%,Not enough data available,91%,77%,Not enough data available,92%,0:06,74%,95%,0.93%,76%,81%,29%,4%,55%,44%,38%,91%,Not enough data available,49%,29%,100%,No data available,0.93%,0:06,4.5%,0.83%,100%,98,22.22%,Not enough data available,0:04,98,No data available,0.0%,40%,15%,97%,3.67,17%,13%,31%,11%,9%
H0302,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.","Veritage, LLC",48%,69%,59%,88%,94%,92%,40%,Not enough data available,0:06,82%,97%,5.63%,77%,87%,21%,0%,52%,31%,36%,89%,Not enough data available,51%,38%,75%,100.00%,5.63%,0:06,4.7%,0.95%,96%,98,No data available,Not enough data available,0:07,98,0.0%,0.0%,25%,8%,95%,CMS Found Issues with Plan's Data,16%,27%,34%,8%,12%
H0303,UnitedHealthcare,"PACIFICARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",64%,85%,54%,83%,92%,86%,43%,90%,2:00,81%,95%,2.10%,75%,80%,30%,1%,59%,44%,34%,78%,Not enough data available,46%,37%,100%,100.00%,2.10%,2:00,5.3%,1.08%,No data available,99,14.78%,Not enough data available,0:04,97,0.0%,0.0%,43%,12%,97%,5.00,14%,18%,28%,10%,11%
H0316,UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",49%,85%,51%,86%,89%,83%,36%,Not enough data available,0:49,74%,94%,2.69%,72%,78%,30%,1%,58%,42%,31%,86%,Not enough data available,46%,32%,100%,No data available,2.69%,0:49,5.1%,1.15%,No data available,99,28.13%,Not enough data available,0:04,97,0.0%,0.0%,41%,17%,95%,4.26,9%,9%,43%,5%,5%
H0318,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Not enough data available,84%,69%,Not enough data available,90%,84%,Not enough data available,89%,0:18,74%,95%,0.33%,Not enough data available,Not enough data available,42%,15%,58%,39%,34%,80%,Not enough data available,52%,40%,100%,No data available,0.33%,0:18,6.1%,0.00%,No data available,98,No data available,84%,0:17,97,No data available,No data available,38%,17%,95%,3.12,11%,37%,19%,7%,10%
H0319,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,Not enough data available,Not enough data available,92%,Not enough data available,Not enough data available,No data available,0:35,No data available,98%,2.42%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,2.42%,0:35,14.9%,1.19%,No data available,No data available,23.20%,No data available,0:04,100,No data available,0.0%,No data available,No data available,No data available,0.09,No data available,No data available,No data available,No data available,No data available
H0321,UnitedHealthcare Community Plan,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",80%,78%,54%,87%,90%,75%,32%,Not enough data available,0:42,62%,96%,2.42%,71%,85%,45%,4%,59%,47%,41%,83%,Not enough data available,51%,36%,100%,100.00%,2.42%,0:42,6.2%,1.65%,100%,98,22.41%,Not enough data available,0:04,97,53.3%,53.3%,45%,27%,No data available,1.08,15%,35%,10%,5%,10%
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",65%,94%,52%,85%,94%,88%,58%,93%,0:05,82%,97%,0.50%,76%,79%,26%,1%,77%,51%,46%,98%,97%,65%,40%,50%,No data available,0.50%,0:05,5.5%,0.19%,100%,99,20.00%,90%,0:04,96,0.0%,0.0%,33%,23%,99%,CMS Found Issues with Plan's Data,10%,27%,18%,6%,7%
H0336,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,21%,93%,Not enough data available,Not enough data available,92%,No data available,Not enough data available,Plan too new to be measured,0:31,48%,93%,2.84%,70%,84%,44%,4%,55%,37%,33%,85%,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",46%,66%,55%,90%,93%,84%,39%,89%,0:04,73%,96%,1.50%,75%,79%,27%,3%,60%,46%,34%,80%,Not enough data available,44%,39%,100%,100.00%,1.50%,0:04,5.7%,0.16%,100%,101,12.07%,Not enough data available,0:13,97,0.0%,0.0%,34%,22%,98%,2.83,13%,42%,12%,5%,7%
H0354,Cigna,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,Not enough data available,84%,58%,92%,87%,90%,39%,91%,0:10,84%,95%,0.00%,80%,87%,18%,1%,70%,51%,39%,94%,Not enough data available,52%,42%,100%,50.00%,0.00%,0:10,4.3%,0.03%,100%,99,19.05%,89%,0:03,99,0.0%,0.0%,21%,15%,94%,1.05,14%,16%,23%,10%,13%
H0408,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:40,No data available,Not enough data available,3.18%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,3.18%,0:40,No data available,No data available,100%,No data available,9.09%,No data available,0:04,100,No data available,0.0%,No data available,No data available,98%,No Data Available,No data available,No data available,No data available,No data available,No data available
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,59%,90%,51%,Not enough data available,95%,69%,53%,Not enough data available,0:38,62%,95%,0.00%,75%,92%,37%,3%,69%,59%,55%,93%,Not enough data available,67%,32%,100%,No data available,0.00%,0:38,4.0%,0.25%,100%,98,41.67%,Not enough data available,0:08,100,0.0%,0.0%,56%,55%,98%,CMS Found Issues with Plan's Data,21%,47%,27%,14%,11%
H0435,GLOBALHEALTH MEDICARE,"GLOBALHEALTH, INC.","Kinderhook Capital Fund III, L.P.",Not enough data available,81%,Not enough data available,Not enough data available,85%,No data available,Not enough data available,No data available,0:10,No data available,94%,4.65%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,1.67%,0:28,8.2%,0.00%,100%,97,No data available,No data available,0:10,82,No data available,No data available,No data available,No data available,93%,No Data Available,No data available,No data available,No data available,No data available,No data available
H0439,Cigna-HealthSpring,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,Not enough data available,79%,Not enough data available,Not enough data available,92%,No data available,Not enough data available,Not enough data available,0:07,61%,95%,2.93%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,0%,No data available,2.93%,0:07,2.3%,0.40%,100%,97,No data available,Not enough data available,0:03,98,0.0%,0.0%,Not enough data available,28%,96%,3.35,38%,43%,23%,24%,25%
