H2172 ,Local CCP ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2226 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2256 ,Local CCP ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,Tufts Health Plan ,"Tufts Health Plan, Inc ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2422 ,Local CCP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5042 ,Local CCP ,"CDPHP UNIVERSAL BENEFITS, INC. ",CDPHP Medicare Advantage ,"Capital District Physicians' Health Plan, Inc. ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5262 ,Local CCP ,QUARTZ HEALTH PLAN CORPORATION ,Quartz Medicare Advantage ,University of Wisconsin Hospitals and Clincs Autho ,MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5264 ,1876 Cost ,"DEAN HEALTH PLAN, INC. ","Dean Health Plan, Inc. ",SSM Healthcare Corporation ,MA-Only ,Part C Summary ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5410 ,Local CCP ,"HEALTHSPRING OF FLORIDA, INC. ",Cigna ,CIGNA ,MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5431 ,Local CCP ,"HEALTHSUN HEALTH PLANS, INC. ","HealthSun Health Plans, Inc. ",Anthem Inc. ,MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5526 ,Local CCP ,HEALTHNOW NEW YORK INC. ,BlueCross BlueShield of WNY and BlueShield of NENY ,HealthNow New York Inc. ,MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5591 ,Local CCP ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ",Martin's Point Generations Advantage ,"Martin's Point Health Care, Inc. ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5652 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9003 ,Local CCP ,KAISER FOUNDATION HP OF THE N W ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9834 ,Local CCP ,QUARTZ HEALTH PLAN MN CORPORATION ,Quartz Medicare Advantage ,University of Wisconsin Hospitals and Clincs Autho ,MA-PD ,Overall ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0655 ,PDP ,TUFTS INSURANCE COMPANY ,Tufts Health Plan ,"Tufts Health Plan, Inc ",PDP ,Part D Summary ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1822 ,PDP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",PDP ,Part D Summary ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3389 ,PDP ,"UPMC HEALTH BENEFITS, INC. ",UPMC Health Plan ,UPMC Health System ,PDP ,Part D Summary ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3521 ,PDP ,"EXCELLUS HEALTH PLAN, INC. ","Excellus Health Plan, Inc ","Lifetime Healthcare, Inc. ",PDP ,Part D Summary ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4219 ,PDP ,HEALTH ALLIANCE MEDICAL PLANS ,Health Alliance Medicare Prescription Plan ,The Carle Foundation ,PDP ,Part D Summary ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
