2021 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2018 Disaster %,2019 Disaster %,2021 Part C Summary,2021 Part D Summary,2021 Overall
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",Yes ,0,0,4,4.5,4.5
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDWEST, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4.5,4.5,4.5
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,3.5,3.5,3.5
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,Independence Health Group ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,4,4
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0271 ,Local CCP ,"SYMPHONIX HEALTH INSURANCE, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,No ,0,0,Plan too new to be measured ,5,Plan too new to be measured
H0294 ,Local CCP ,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,4.5,4.5
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona Advantage ,Blue Cross Blue Shield of Arizona ,No ,0,0,3.5,3.5,3
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,4,3.5
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"Kelsey-Seybold Medical Group, PLLC ",No ,0,0,5,5,5
H0336 ,Demo ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Tufts Health Plan, Inc ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,3,3,3
H0354 ,Local CCP ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",Cigna ,CIGNA ,Yes ,0,0,4,4.5,4
H0363 ,Local CCP ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0422 ,Local CCP ,"UCARE HEALTH, INC. ",UCare ,UCare Minnesota ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0423 ,Local CCP ,"METROPLUS HEALTH PLAN, INC. ",MetroPlus Health Plan ,New York City Health and Hospitals Corporation ,Yes ,0,0,3.5,4,3.5
H0432 ,Local CCP ,"UNITEDHEALTHCARE OF ALABAMA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,3.5,3.5
H0439 ,Local CCP ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",Cigna ,CIGNA ,Yes ,0,0,3.5,3.5,3.5
H0473 ,Local CCP ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana ,Humana Inc. ,Yes ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H0480 ,Demo ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",MeridianComplete ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0482 ,Local CCP ,CENTENE VENTURE COMPANY MICHIGAN ,Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0504 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,Yes ,50,0,3.5,4.5,4
H0523 ,Local CCP ,AETNA HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,No ,18,0,3.5,3.5,3.5
H0524 ,Local CCP ,"KAISER FOUNDATION HP, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,25,0,5,5,5
H0543 ,Local CCP ,UHC OF CALIFORNIA ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,24,0,4,3.5,4
H0544 ,Local CCP ,BLUE CROSS OF CALIFORNIA ,Anthem Blue Cross ,Anthem Inc. ,Yes ,44,0,3.5,3.5,3.5
H0545 ,Local CCP ,"INTER VALLEY HEALTH PLAN, INC. ",Inter Valley Health Plan ,InterValley Health Plan ,No ,20,0,3.5,3.5,3.5
H0562 ,Local CCP ,"HEALTH NET OF CALIFORNIA,INC. ",Health Net of California ,Centene Corporation ,Yes ,26,0,4,4,4
H0571 ,Local CCP ,CHINESE COMMUNITY HEALTH PLAN ,Chinese Community Health Plan ,Chinese Hospital Association ,Yes ,0,0,3.5,4,4
H0609 ,Local CCP ,"PACIFICARE OF COLORADO, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,4,4
H0624 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,4,4
H0628 ,Local CCP ,AETNA HEALTH OF OHIO INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0630 ,Local CCP ,KAISER FOUNDATION HP OF CO ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,0,0,5,5,5
H0657 ,1876 Cost ,"FRIDAY HEALTH PLANS OF COLORADO, INC. ",Friday Health Plans ,"Friday Health Plans, Inc. ",No ,0,0,Not enough data available ,Not Applicable ,Not enough data available
H0672 ,Local CCP ,"CIGNA HEALTHCARE OF COLORADO, INC. ",Cigna ,CIGNA ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0710 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,5,4.5,5
H0712 ,Local CCP ,"WELLCARE OF CONNECTICUT, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,3,3.5,3
H0724 ,Local CCP ,BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS ,Allwell ,Centene Corporation ,No ,0,0,3,3,3
H0755 ,Local CCP ,"OXFORD HEALTH PLANS (CT), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,4,4,4
H0783 ,Local CCP ,"HUMANA BENEFIT PLAN OF TEXAS, INC. ",Humana ,Humana Inc. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0798 ,Local CCP ,MEDICA COMMUNITY HEALTH PLAN ,Medica ,Medica Holding Company ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0838 ,Local CCP ,"UNIVERSAL CARE, INC. ",Brand New Day ,"Universal Care, Inc ",Yes ,25,0,3.5,4,3.5
H0885 ,Local CCP ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,Braven Health ,"NJ Collaborative Care, LLC ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0907 ,Local CCP ,"AMERIGROUP IOWA, INC. ",Amerigroup Iowa ,Anthem Inc. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0908 ,Local CCP ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,3.5,3.5,3.5
H0913 ,Local CCP ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,3,4,3.5
H0927 ,Demo ,HEALTH CARE SERVICE CORPORATION ,Blue Cross Community MMAI ,Health Care Service Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H0969 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE ,WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0982 ,Local CCP ,"SOLIS HEALTH PLANS, INC. ",Solis Health Plans ,"Athena Healthcare Holdings, LLC ",Yes ,0,0,Plan too new to be measured ,2.5,Plan too new to be measured
H1016 ,Local CCP ,"AVMED, INC. ",AvMed Medicare ,"AvMed, Inc. ",No ,0,0,4,3.5,3.5
H1019 ,Local CCP ,"CAREPLUS HEALTH PLANS, INC. ","CarePlus Health Plans, Inc. ",Humana Inc. ,Yes ,0,0,5,5,5
H1032 ,Local CCP ,"WELLCARE OF FLORIDA, INC. ",WellCare ,Centene Corporation ,Yes ,4,0,3.5,4.5,4
H1035 ,Local CCP ,"FLORIDA BLUE MEDICARE, INC. ",Florida Blue HMO ,Guidewell Mutual Holding Corporation ,Yes ,0,0,4,3.5,4.5
H1036 ,Local CCP ,"HUMANA MEDICAL PLAN, INC. ",Humana ,Humana Inc. ,Yes ,0,0,4,4.5,4.5
H1045 ,Local CCP ,"PREFERRED CARE PARTNERS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,1,0,3.5,3.5,3.5
H1099 ,Local CCP ,HEALTH FIRST HEALTH PLANS ,"Health First Health Plans, Inc. ","Health First, Inc. ",No ,0,0,4,3,3.5
H1100 ,Local CCP ,INNOVATION HEALTH INSURANCE COMPANY ,Innovation Health Medicare ,"Innovation Health Holdings, LLC ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1109 ,Local CCP ,AETNA HEALTH INC.(GA) ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,3,3,3
H1111 ,Local CCP ,"UNITEDHEALTHCARE OF GEORGIA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3.5,3.5,3.5
H1112 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,3.5,3.5,3.5
H1119 ,Local CCP ,"TSG GUARD, INC. ",Valor Health Plan ,"The Schroer Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1142 ,Local CCP ,"BRIGHT HEALTH INSURANCE COMPANY OF OHIO, INC. ",Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1170 ,Local CCP ,"KAISER FOUNDATION HP OF GA, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,0,0,4.5,5,5
H1181 ,MSA ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",No ,0,0,3.5,Not Applicable ,Not enough data available
H1189 ,Local CCP ,CHRISTUS HEALTH PLAN ,CHRISTUS Health Plan Generations ,CHRISTUS Health ,No ,0,0,3.5,2.5,3
H1205 ,Local CCP ,"INTEGRA MLTC, INC ",Integra Managed Care ,Personal Touch Holding Corp. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1225 ,Local CCP ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins HealthCare ,Johns Hopkins Healthcare LLC ,No ,0,0,3,3.5,3.5
H1230 ,Local CCP ,"KAISER FOUNDATION HP, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,0,0,4.5,5,5
H1248 ,Local CCP ,LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY ,Blue Cross and Blue Shield of Louisiana ,Louisiana Health Service & Indemnity Company ,No ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H1277 ,Local CCP ,"ALIGN SENIOR CARE, INC. ",Align Senior Care ,"Innovative Long Term Care Management, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1278 ,Local CCP ,HARKEN HEALTH INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H1290 ,Local CCP ,"DEVOTED HEALTH PLAN OF FLORIDA, INC. ",Devoted Health ,"Devoted Health, Inc. ",Yes ,0,0,Plan too new to be measured ,5,Plan too new to be measured
H1302 ,Local CCP ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ",Blue Cross of Idaho ,"Blue Cross of Idaho Health Services, Inc. ",No ,0,0,Not enough data available ,Not Applicable ,Not enough data available
H1304 ,Local CCP ,REGENCE BLUESHIELD OF IDAHO ,Regence BlueShield Of Idaho ,"Cambia Health Solutions, Inc. ",No ,0,0,4,3.5,3.5
H1350 ,Local CCP ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ",Blue Cross of Idaho ,"Blue Cross of Idaho Health Services, Inc. ",Yes ,0,0,4,3.5,3.5
H1352 ,Local CCP ,"BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC. ",Blue Medicare Advantage ,Blue Cross and Blue Shield of Kansas City ,No ,0,0,3.5,3.5,3.5
H1353 ,Local CCP ,"WELLCARE OF WASHINGTON, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1360 ,Local CCP ,"HEALTH PLAN OF NEVADA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1365 ,Local CCP ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ",Martin's Point Generations Advantage ,"Martin's Point Health Care, Inc. ",No ,0,0,4.5,4,4.5
H1372 ,Local CCP ,"MARQUIS ADVANTAGE, INC. ",AgeRight Advantage ,"Marquis Companies I, Inc. ",Yes ,0,0,Not enough data available ,4.5,Not enough data available
H1375 ,Local CCP ,"UNITEDHEALTHCARE COMMUNITY PLAN OF CALIFORNIA, INC ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1393 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF TENNESSEE ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1415 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna ,CIGNA ,No ,0,0,3,3.5,3
H1416 ,Local CCP ,"HARMONY HEALTH PLAN,  INC. ",WellCare ,Centene Corporation ,Yes ,0,0,3,3.5,3
H1423 ,Local CCP ,"AMERIGROUP OHIO, INC. ",Amerigroup Ohio ,Anthem Inc. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1426 ,Local CCP ,"VITALITY HEALTH PLAN OF CALIFORNIA, INC. ",Vitality Health Plan of California ,"Vitality Health Plans, Inc. ",No ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H1436 ,Local CCP ,"ABSOLUTE TOTAL CARE, INC. ",Allwell ,Centene Corporation ,Yes ,16,0,2.5,3.5,3
H1463 ,Local CCP ,"HEALTH ALLIANCE CONNECT, INC. ",Health Alliance Medicare ,The Carle Foundation ,No ,0,0,4,3.5,4
H1468 ,Local CCP ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana ,Humana Inc. ,Yes ,0,0,4,4.5,4
H1537 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,4.5,5,5
H1587 ,Local CCP ,"ARKANSAS SUPERIOR SELECT, INC. ",Tribute Health Plans ,"Select Founders, LLC ",Yes ,0,0,3,5,4
H1607 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,No ,0,0,3.5,3.5,3.5
H1608 ,Local CCP ,COVENTRY HEALTH AND LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,3,4,3.5
H1609 ,Local CCP ,AETNA HEALTH INC. (FL) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,3.5,4,4
H1610 ,Local CCP ,"COVENTRY HEALTH CARE OF VIRGINIA, INC. ",Aetna Better Health of Virginia ,CVS Health Corporation ,Yes ,0,0,3.5,3,3
H1644 ,Local CCP ,"LONGEVITY HEALTH PLAN OF FLORIDA, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1651 ,1876 Cost ,"MEDICAL ASSOCIATES HEALTH PLAN, INC. ","Medical Associates Health Plan, Inc. ","Medical Associates Clinic, P.C. ",No ,0,0,5,Not Applicable ,Not enough data available
H1659 ,Local CCP ,UNITEDHEALTHCARE INSURANCE CO OF THE RIVER VALLEY ,Piedmont Medicare Advantage ,"UnitedHealth Group, Inc. ",No ,0,0,3.5,3.5,3.5
H1660 ,Local CCP ,HARVARD PILGRIM HEALTH CARE INC. ,"Harvard Pilgrim Health Care, Inc. ","Harvard Pilgrim Health Care, Inc. ",No ,0,0,3.5,4,4
H1664 ,Local CCP ,"HOME STATE HEALTH PLAN, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H1666 ,Local CCP ,HCSC INSURANCE SERVICES COMPANY ,Blue Cross and Blue Shield of Texas ,Health Care Service Corporation ,No ,0,0,3.5,3.5,3
H1692 ,Local CCP ,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC. ",Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,3.5,4,3.5
H1722 ,Local CCP ,"HEALTHFIRST HEALTH PLAN, INC. ",Healthfirst Medicare Plan ,"Healthfirst, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1723 ,Demo ,"ABSOLUTE TOTAL CARE, INC. ",Absolute Total Care ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H1732 ,Local CCP ,"HEALTHPLUS HP, LLC ",Empire BlueCross BlueShield ,Anthem Inc. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1737 ,Local CCP ,"HEALTH ALLIANCE - MIDWEST, INC. ",Health Alliance Medicare ,The Carle Foundation ,No ,0,0,3.5,4,3.5
H1748 ,Local CCP ,"SONDER HEALTH PLANS, INC. ","Sonder Health Plan, Inc. ","Avian Holdings, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1774 ,Local CCP ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1777 ,Local CCP ,"CATHOLIC SPECIAL NEEDS PLAN, LLC ",ArchCare Advantage ,Catholic Health Care System ,Yes ,0,0,4,5,4
H1787 ,Local CCP ,"GOOD SAMARITAN INSURANCE PLAN OF SOUTH DAKOTA, INC ",Great Plains Medicare Advantage ,Sanford Health ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1821 ,Local CCP ,"UNITEDHEALTHCARE OF OREGON, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1846 ,Local CCP ,MOUNT CARMEL HEALTH INSURANCE COMPANY ,MediGold ,Trinity Health ,No ,0,0,4,3,3.5
H1848 ,Local CCP ,"WELLCARE OF ALABAMA, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1862 ,Local CCP ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1889 ,Local CCP ,"UNITEDHEALTHCARE OF FLORIDA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1894 ,Local CCP ,"AMERIGROUP WASHINGTON, INC. ",AMERIGROUP ,Anthem Inc. ,Yes ,0,0,3,3,3
H1914 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1924 ,MSA ,"PORT HOLDINGS, INC. ",Lasso Healthcare ,"Port Holdings, Inc. ",No ,0,0,Plan too new to be measured ,Not Applicable ,Plan too new to be measured
H1944 ,Local CCP ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3.5,4,4
H1947 ,Local CCP ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ",Healthy Blue ,Anthem Inc. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1951 ,Local CCP ,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC. ",Humana ,Humana Inc. ,Yes ,0,0,4.5,4,4.5
H1961 ,Local CCP ,"PEOPLES HEALTH, INC. ",Peoples Health ,"UnitedHealth Group, Inc. ",Yes ,0,0,4.5,4.5,4.5
H1969 ,Local CCP ,REGENCE BLUESHIELD OF IDAHO ,Regence BlueShield of Idaho ,"Cambia Health Solutions, Inc. ",No ,0,0,4.5,4,4.5
H1977 ,Demo ,"UPPER PENINSULA HEALTH PLAN, LLC ",Upper Peninsula Health Plan (UPHP) MI Health Link ,"DLP Marquette General Hospital, LLC ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H1993 ,Local CCP ,"ASTIVA HEALTH, INC. ",Astiva Health ,"Astiva Group, LLC ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1994 ,Local CCP ,"SELECTHEALTH, INC. ",SelectHealth ,"Intermountain Health Care, Inc. ",Yes ,0,0,4.5,3.5,4
H1997 ,Local CCP ,REGENCE BLUESHIELD ,Regence BlueShield ,"Cambia Health Solutions, Inc. ",No ,0,0,4,3.5,4
H2001 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,6,0,4,4,4.5
H2011 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF TENNESSEE ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2020 ,Local CCP ,DELAWARE LIFE INSURANCE COMPANY ,Clear Spring Health ,Group 1001 ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2029 ,Local CCP ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana ,Humana Inc. ,No ,0,24,3.5,3.5,4
H2032 ,Local CCP ,INSURANCE COMPANY OF SCOTT AND WHITE ,Scott and White Health Plan ,Baylor Scott & White Holdings ,No ,0,0,4.5,3.5,4
H2034 ,Local CCP ,"COMMUNITY CARE HEALTH PLAN, INC. ",Community Care ,"Community Care, Inc. ",Yes ,0,0,Not enough data available ,4,Not enough data available
H2056 ,Local CCP ,AETNA BETTER HEALTH OF MICHIGAN INC. ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2108 ,Local CCP ,"BRAVO HEALTH MID-ATLANTIC, INC. ",Cigna ,CIGNA ,Yes ,0,0,3.5,3.5,3.5
H2120 ,Local CCP ,"SECURITYCARE OF TENNESSEE, INC. ",BlueEssential ,BlueCross BlueShield of Tennessee ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2134 ,Local CCP ,"WESTERN SKY COMMUNITY CARE, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
