Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP_x,Part C Summary,Overall,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,SNP_y,Part D Summary,Year,2014 Part D Summary Rating,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,SNP,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions
H0545,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,4,5,4,4,5,4,4,1,2,5,0,0,0,2,4,5,3,4,4,3,1,3,4,2,2,5,4,5,2,5,4,5,2,5,4,5,4,3,3,4,5,No,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,No,4.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0562,Local CCP,"HEALTH NET OF CALIFORNIA,INC.",Health Net of California,"Health Net, Inc.",4,5,5,4,3,4,4,2,3,4,5,4,4,2,5,5,4,5,4,3,2,4,4,2,4,3,4,4,3,3,4,5,4,4,4,3,4,4,3,4,4,Yes,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,Yes,4,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0564,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",4,5,5,4,2,4,4,2,1,4,0,0,0,2,3,5,4,5,4,3,1,3,5,1,3,3,4,1,3,1,3,3,3,1,0,5,4,4,3,3,3,No,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,3,No,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0571,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,4,5,4,4,4,5,5,2,3,5,5,4,4,2,5,5,4,5,5,1,1,4,4,4,1,4,1,4,1,5,3,5,4,0,0,3,4,4,3,4,0,Yes,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,5,Yes,4.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0602,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",3,5,4,4,4,5,4,1,2,4,0,0,0,2,5,3,5,5,5,3,3,3,0,4,4,5,4,4,4,5,5,5,3,4,3,0,4,4,4,5,4,No,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,No,4.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0609,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,5,4,3,5,4,2,2,3,0,0,0,2,4,5,5,4,3,4,3,3,4,4,4,2,4,4,4,3,1,5,4,3,3,5,4,4,4,3,4,No,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,No,4,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0620,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1,1,0,1,3,0,4,1,2,5,5,5,5,1,5,4,3,3,0,0,3,5,5,0,0,0,0,0,0,5,1,5,4,4,0,4,2,4,0,4,4,Yes,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0621,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,2,3,3,1,4,4,5,2,2,4,4,3,4,1,4,4,2,2,3,3,2,4,3,3,4,3,2,4,1,5,4,5,4,5,0,5,3,3,3,5,5,Yes,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,Yes,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0624,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,1,1,2,3,4,2,2,3,3,2,1,1,3,3,3,3,3,3,3,5,3,2,4,1,2,4,2,4,1,4,2,4,0,4,2,3,3,3,4,Yes,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0630,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,5,5,5,5,5,4,3,3,5,4,4,3,3,5,5,5,5,5,5,3,3,4,5,5,5,4,5,4,4,5,5,4,5,4,5,5,4,5,5,5,Yes,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,Yes,5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0657,1876 Cost,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Colorado Choice Health Plans,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,5,1,4,3,0,5,0,0,0,0,0,0,0,3,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0710,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,2,5,0,4,2,2,3,5,5,5,1,5,5,3,3,3,0,0,5,4,0,0,0,0,0,0,3,1,5,5,5,5,4,3,4,0,4,5,Yes,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,Yes,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0712,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",4,5,2,3,3,3,5,2,3,4,3,2,2,0,4,4,3,3,3,4,1,4,2,2,4,1,1,1,3,2,4,3,3,5,5,4,3,3,2,3,5,Yes,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0755,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,5,4,4,4,5,2,2,3,0,0,0,1,4,5,3,4,4,3,3,4,3,4,4,4,4,4,4,3,1,4,4,4,4,5,4,3,4,3,4,No,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,No,3.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0838,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",2,1,0,4,2,2,0,0,0,5,2,5,1,0,3,3,2,2,3,0,0,0,4,0,2,2,2,2,2,3,4,3,2,0,0,3,3,3,2,3,0,Yes,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,Yes,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0901,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,No,2.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0908,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,2,2,2,0,0,0,5,0,0,0,2,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,Yes,2.5,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0913,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",3,4,5,4,2,1,4,2,2,3,0,0,0,0,3,5,3,3,3,0,0,4,3,0,1,2,2,1,2,3,3,1,4,4,5,4,3,3,2,3,4,No,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,No,3,2014 Fall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
