Medicare Part C Display Measures,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Breast Cancer Screening - C01,Colorectal Cancer Screening - C02,Adult BMI Assessment - C07,Care for Older Adults ñ Medication Review - C09,Care for Older Adults ñ Functional Status Assessment - C10,Care for Older Adults ñ Pain Assessment - C11,Osteoporosis Management in Women who had a Fracture - C12,Diabetes Care ñ Eye Exam - C13,Diabetes Care ñ Kidney Disease Monitoring - C14,Diabetes Care ñ Blood Sugar Controlled - C15,Controlling Blood Pressure - C16,Rheumatoid Arthritis Management - C17,Plan All-Cause Readmissions - C19
H2411,Fallon Health,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County Health & Human Services,59%,58%,91%,82%,91%,90%,Not enough data available,58%,94%,82%,73%,Not enough data available,10%
H2470,Fallon Health Weinberg,"FALLON HEALTH WEINBERG, INC.",Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2676,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,56%,55%,91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,54%,97%,67%,35%,Not enough data available,6%
H2751,WellCare Advocate Complete FIDA,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2926,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,85%,69%,88%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,85%,90%,70%,73%,Not enough data available,Not enough data available
H2968,Memorial Hermann Health Insurance Company,MEMORIAL HERMANN HEALTH INSURANCE  COMPANY,Memorial Hermann Health System,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,63%,93%,51%,57%,Not enough data available,Not enough data available
H2986,Stanford Health Care Advantage,STANFORD HEALTHCARE ADVANTAGE,Stanford Health Care,0 - Plan reported a Biased Rate,0 - Plan reported a Biased Rate,0 - Plan reported a Biased Rate,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate
H3018,Centers Plan for FIDA Care Complete,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3129,"North Shore-LIJ Health Plan, Inc.","NORTH SHORE-LIJ HEALTH PLAN, INC.","North Shore-LI Jewish Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H3314,HIP Health Plan of Greater New York,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,1%
H3503,Sanford Heart of America Health Plan,SANFORD HEART OF AMERICA HEALTH PLAN,Sanford,76%,73%,97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan ,Not enough data available,Not enough data available,Not enough data available,81%,Benefit not offered by plan ,2%
H3708,Tribute Health Plan of Oklahoma,"OKLAHOMA SUPERIOR SELECT, INC.","Healthcare Investors, LLC",Not enough data available,Not enough data available,Not enough data available,83%,92%,92%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6%
H3794,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4465,ICS Community Care Plus FIDA MMP,"INDEPENDENCE CARE SYSTEM, INC.","Independence Care System, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4738,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",57%,56%,86%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,50%,97%,31%,23%,Not enough data available,16%
H4876,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,17%,Not enough data available,Not enough data available
H4922,AgeWell New York,"AGEWELL NEW YORK, LLC","ParkerCare New York, LLC",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5207,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",74%,60%,99%,96%,100%,100%,Not enough data available,59%,95%,68%,99%,Not enough data available,4%
H5386,Sharp Advantage,SHARP HEALTH PLAN,Sharp Healthcare,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5779,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",Not enough data available,56%,97%,88%,71%,83%,Not enough data available,62%,97%,73%,64%,Not enough data available,17%
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Not enough data available,Not enough data available,Not enough data available,4%,4%,0%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate,Not enough data available,17%
H6050,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Not enough data available,78%,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure
H6308,AgeWell New York FIDA Plan,"AGEWELL NEW YORK, LLC","ParkerCare New York, LLC",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6435,RiverSpring FIDA Plan,"ELDERSERVE HEALTH, INC.",Riverspring Health Holding Corp.,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6745,Amida Care,AMIDA CARE INC.,Amida Care Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,34%,91%,17%,11%,Not enough data available,Not enough data available
H6786,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF MAINE, INC.",Anthem Inc.,92%,76%,99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,84%,Not enough data available,15%
H6951,Trillium Medicare Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Centene Corporation,65%,66%,91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,58%,96%,74%,73%,Not enough data available,7%
H6974,AlphaCare Signature FIDA Plan,"ALPHACARE OF NEW YORK, INC.","Magellan Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6988,Centers Plan for Healthy Living,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7173,Peach State Health Plan,"PEACH STATE HEALTH PLAN, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,47%,80%,90%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,56%,Not enough data available,Not enough data available
H7680,Prominence Health Plan,PROMINENCE HEALTHFIRST OF TEXAS,"Universal Health Services, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,45%,95%,21%,14%,Not enough data available,Not enough data available
H7903,ClearRiver Health,CLEARRIVER HEALTH,Catholic Health Initiatives,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,61%,98%,0 - Plan reported a Biased Rate,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available
H7960,Harbor Medicare Plans,"HARBOR HEALTH PLAN, INC.",Tenet Healthcare Corporation,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,38%,Not enough data available,Not enough data available
H7971,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",71%,68%,4%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,69%,84%,53%,Not enough data available,Not enough data available,19%
H8029,Elderplan FIDA Total Care,"ELDERPLAN, INC.","Elderplan, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8056,Aetna Better Health FIDA Plan,"AETNA BETTER HEALTH, INC. (NY)",Aetna Inc.,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8170,America's 1st Choice of South Carolina,"AMERICA'S 1ST CHOICE OF SOUTH CAROLINA, INC.","America∆s 1st Choice of South Carolina, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,62%,Not enough data available,Not enough data available
H8420,CenterLight Healthcare FIDA Plan,"CENTERLIGHT HEALTHCARE, INC.","CenterLight Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8506,"Moda Health Plan, Inc.","MODA HEALTH PLAN, INC.","Moda, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8851,SWH Whole Health FIDA Plan,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9115,MetroPlus FIDA,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,Not enough data available,66%,96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,77%,100%,77%,59%,Not enough data available,12%
H9285,EASY CHOICE HEALTH PLAN OF NEW YORK,"ATLANTIS HEALTH PLAN, INC.","America's 1st Choice NY Holdings, LLC",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H9345,VillageCareMAX Full Advantage FIDA,VILLAGE SENIOR SERVICES CORPORATION,"Village Care of New York, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9492,StableView Health,STABLEVIEW HEALTH,Catholic Health Initiatives,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available
H9689,Health Alliance Medicare,"HEALTH ALLIANCE CONNECT, INC.",The Carle Foundation,Not enough data available,Not enough data available,Not enough data available,48%,20%,40%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,65%,Not enough data available,Not enough data available
H9699,Health Advantage,"HMO PARTNERS, INC.",USAble Mutual Insurance Company,Not enough data available,47%,86%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,39%,84%,29%,38%,Not enough data available,14%
H9954,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,56%,54%,92%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,61%,91%,88%,75%,Not enough data available,0%
