2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Calls Disconnected When Customer Calls Health Plan  - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer Used during Office Visits - DMC19,Computer Use by Doctor Helpful - DMC20,Computer Use Made Talking with Doctor Easier - DMC21,Improving Bladder Control - DMC22,Medication Reconciliation Post Discharge - DMC23,Hospitalization for Potentially Preventable Complications - DMC24,Statin Therapy for Patients with Cardiovascular Disease - DMC25,Medication Management for People With Asthma - DMC26,Asthma Medication Ratio - DMC27,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan  - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Statin Use in Persons with Diabetes (SUPD) - DMD17,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H0137,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",72%,45%,Not enough data available,91%,Not enough data available,Not enough data available,93%,0:03,57%,97%,0.00%,75%,93%,43%,11%,68%,51,49,96,Not enough data available,60,Not enough data available,53%,Insufficient data,85%,52%,62%,100%,100.00%,0.00%,0:03,6%,0.78%,100%,101,No data available,Not enough data available,0:05,98,No data available,100.0%,52,35,78%,No data available,1.89,No data available,No data available,No data available,No data available,No data available
H0141,McLaren Advantage (HMO),"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,Not enough data available,Not enough data available,Not enough data available,91%,No data available,Not enough data available,No data available,0:40,No data available,100%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:40,No data available,No data available,100%,96,No data available,No data available,1:37,98,No data available,0.0%,No data available,No data available,No data available,98%,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0147,Anthem HealthKeepers,"HEALTHKEEPERS, INC.",Anthem Inc.,54%,39%,Not enough data available,88%,No data available,Not enough data available,Not enough data available,0:11,50%,89%,0.79%,75%,88%,41%,4%,56%,42,40,90,Not enough data available,59,No data available,10%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,No data available,0.79%,0:11,7%,0.20%,100%,101,16.74%,Not enough data available,0:20,83,0.0%,0.0%,49,33,75%,No data available,1.05,No data available,No data available,No data available,No data available,No data available
H0148,Care1st Health Plan,CARE1ST HEALTH PLAN,California Physicians' Service,29%,53%,90%,88%,No data available,23%,Not enough data available,0:20,57%,78%,6.30%,56%,82%,47%,4%,65%,49,42,77,Not enough data available,59,No data available,6%,CMS Found Issues with Plan’s Data,73%,Plan not required to report measure,25%,50%,100.00%,6.30%,0:20,4%,0.26%,100%,99,14.88%,Not enough data available,0:07,99,0.0%,0.0%,50,33,75%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0150,Cigna-HealthSpring,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,34%,48%,87%,96%,74%,34%,89%,1:42,64%,96%,4.44%,70%,76%,25%,1%,62%,53,47,82,Not enough data available,57,48%,34%,62,76%,51%,74%,40%,75.00%,4.44%,1:42,7%,1.02%,96%,100,14.29%,Not enough data available,0:10,99,0.0%,13.3%,44,30,75%,88%,2.36,28%,40%,24%,17%,18%
H0151,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",46%,44%,94%,93%,62%,30%,Not enough data available,0:11,65%,95%,0.37%,71%,70%,29%,1%,62%,60,50,80,Not enough data available,62,47%,11%,56,73%,52%,72%,100%,100.00%,0.37%,0:11,8%,0.30%,100%,99,17.32%,Not enough data available,0:10,99,No data available,No data available,55,39,73%,98%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0154,VIVA Medicare,"VIVA HEALTH, INC.",UAB Health System,35%,51%,89%,95%,76%,32%,90%,0:36,67%,96%,0.00%,71%,72%,24%,1%,61%,45,42,83,91,55,49%,33%,66,75%,52%,69%,92%,No data available,0.00%,0:36,9%,0.30%,100%,98,13.66%,89,0:13,99,0.0%,13.3%,46,39,73%,99%,0.85,12%,25%,35%,15%,9%
H0174,Universal American Corp.,"TODAY'S OPTIONS OF TEXAS, INC.",Universal American Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:07,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0192,AmeriHealth Caritas VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.","Independence Health Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Not enough data available,0:03,42%,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,55%,43,42,80,Not enough data available,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,40,28,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0251,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",62%,43%,93%,94%,62%,31%,91%,0:08,61%,96%,0.00%,72%,83%,26%,3%,64%,56,49,85,Not enough data available,57,39%,6%,62,73%,61%,55%,100%,100.00%,0.00%,0:08,9%,0.57%,100%,99,18.98%,Not enough data available,0:10,99,No data available,No data available,57,46,73%,No data available,0.67,23%,46%,10%,11%,12%
H0281,IlliniCare Health,ILLINICARE HEALTH PLAN,Centene Corporation,36%,Not enough data available,Not enough data available,94%,No data available,Not enough data available,Not enough data available,0:23,47%,96%,2.31%,Not enough data available,Not enough data available,72%,17%,63%,48,49,88,Not enough data available,62,No data available,1%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,0%,No data available,2.31%,0:23,6%,0.00%,100%,101,34.48%,Not enough data available,0:32,98,No data available,No data available,54,35,76%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0294,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",39%,57%,Not enough data available,92%,80%,33%,92%,0:19,76%,96%,2.21%,71%,72%,35%,6%,62%,54,42,91,Not enough data available,50,48%,14%,66,76%,58%,78%,100%,No data available,2.21%,0:19,5%,0.60%,100%,99,13.64%,80,0:10,99,No data available,No data available,38,19,76%,98%,CMS identified issues with this plan's data,11%,16%,35%,12%,10%
H0302,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.","Veritage, LLC",32%,67%,89%,93%,88%,46%,89%,0:34,81%,97%,0.00%,74%,83%,23%,2%,55%,35,31,90,Not enough data available,47,46%,12%,35,73%,56%,82%,71%,92.31%,0.00%,0:34,5%,0.91%,100%,101,30.43%,Not enough data available,0:10,97,0.0%,13.3%,25,12,72%,96%,CMS identified issues with this plan's data,19%,40%,13%,6%,13%
H0321,UnitedHealthcare,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",82%,44%,90%,91%,69%,32%,Not enough data available,0:14,62%,96%,0.00%,72%,84%,46%,6%,66%,61,48,89,Not enough data available,55,46%,8%,46,72%,56%,65%,93%,100.00%,0.00%,0:14,6%,0.37%,100%,99,14.29%,Not enough data available,0:10,98,No data available,No data available,45,32,73%,No data available,0.93,17%,13%,6%,3%,8%
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",71%,55%,88%,96%,91%,52%,93%,0:16,86%,97%,0.00%,79%,88%,25%,1%,79%,60,50,98,97,69,52%,24%,43,80%,54%,84%,50%,No data available,0.00%,0:16,6%,0.17%,100%,102,18.42%,Not enough data available,0:28,88,No data available,0.0%,40,24,78%,99%,0.65,20%,33%,11%,4%,15%
H0336,Humana Gold Plus Integrated,"HUMANA HEALTH PLAN, INC.",Humana Inc.,34%,79%,Not enough data available,90%,No data available,Not enough data available,Not enough data available,0:53,49%,87%,3.23%,64%,80%,42%,3%,57%,49,47,89,Not enough data available,56,No data available,2%,Insufficient data,77%,Not enough data available,Not enough data available,No data available,No data available,3.23%,0:53,5%,0.99%,100%,99,21.71%,Not enough data available,0:04,99,0.0%,6.7%,39,32,76%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.",Centene Corporation,48%,52%,89%,93%,77%,40%,89%,0:34,71%,95%,0.79%,75%,80%,27%,2%,48%,40,33,81,Not enough data available,52,43%,10%,37,71%,54%,79%,100%,100.00%,0.79%,0:34,5%,0.11%,100%,98,12.12%,Not enough data available,0:04,98,0.0%,0.0%,33,21,73%,98%,3.44,15%,62%,9%,8%,8%
H0354,Cigna,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,Not enough data available,58%,92%,96%,86%,37%,93%,0:47,80%,98%,2.36%,71%,82%,25%,1%,66%,46,35,97,Not enough data available,48,49%,43%,32,69%,59%,83%,83%,85.71%,2.36%,0:47,4%,0.57%,100%,99,12.12%,92,0:10,99,0.0%,20.0%,30,15,74%,71%,1.32,21%,23%,22%,17%,17%
H0408,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,90%,68%,Not enough data available,92%,0:13,67%,96%,0.68%,78%,69%,36%,0%,64%,53,41,86,Not enough data available,59,41%,3%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.68%,0:13,8%,0.29%,100%,99,No data available,Not enough data available,0:10,98,No data available,No data available,49,35,78%,99%,7.48,No data available,No data available,No data available,No data available,No data available
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,54%,73%,97%,95%,65%,45%,Not enough data available,0:50,65%,95%,1.54%,73%,94%,41%,7%,71%,68,57,95,96,60,Not enough data available,36%,81,81%,83%,58%,100%,No data available,1.54%,0:50,4%,0.07%,100%,100,12.50%,Not enough data available,0:10,99,No data available,0.0%,56,60,82%,97%,CMS identified issues with this plan's data,20%,25%,18%,16%,7%
H0435,GLOBALHEALTH MEDICARE,"GLOBALHEALTH, INC.","Kinderhook Capital Fund III, L.P.",Not enough data available,Not enough data available,Not enough data available,91%,63%,Not enough data available,Not enough data available,0:15,69%,92%,1.59%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,54%,32,26,85,Not enough data available,47,36%,45%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:20,7%,0.61%,100%,100,No data available,Not enough data available,0:17,96,No data available,No data available,18,16,67%,94%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0439,Cigna-HealthSpring,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,45%,59%,89%,97%,73%,Not enough data available,92%,1:35,74%,96%,3.82%,72%,73%,20%,0%,58%,47,44,85,Not enough data available,58,46%,23%,57,64%,Not enough data available,Not enough data available,60%,50.00%,3.82%,1:35,5%,0.89%,100%,100,No data available,Not enough data available,0:10,99,0.0%,20.0%,36,17,72%,89%,3.87,29%,43%,15%,16%,21%
H0480,Meridian Complete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Not enough data available,0:21,58%,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,63%,42,47,92,Not enough data available,47,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,34,24,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",38%,Not enough data available,Not enough data available,91%,Not enough data available,Not enough data available,No data available,0:06,No data available,92%,0.00%,Not enough data available,Not enough data available,32%,2%,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,13%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:06,5%,0.74%,100%,99,No data available,No data available,0:10,99,No data available,No data available,No data available,No data available,73%,No data available,Plan too small to be measured,27%,42%,8%,12%,18%
H0502,Contra Costa Health Plan,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,Not enough data available,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,No data available,Not enough data available,No data available,Not enough data available,No data available,94%,Not enough data available,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan,Benefit not offered by plan,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,25%,49%,91%,88%,74%,34%,93%,0:49,69%,79%,0.00%,64%,75%,14%,1%,54%,33,35,85,Not enough data available,56,43%,13%,30,68%,52%,88%,93%,77.42%,0.00%,0:49,5%,1.06%,100%,99,9.49%,Not enough data available,0:24,99,0.0%,0.0%,45,15,75%,97%,CMS identified issues with this plan's data,20%,28%,27%,15%,14%
