Weight,Measurement
0.0007987848627449569,C Reducing the Risk of Falling Non-numeric_Plan too new to be measured
0.0007984480204850128,C Plan All-Cause Readmissions Non-numeric_Plan not required to report measure
0.0007782819068812596,C Medication Reconciliation Post-Discharge Non-numeric_Plan not required to report measure
0.0007587046879706282,D Getting Needed Prescription Drugs Non-numeric_Not enough data available
0.0007235309452197669,C Colorectal Cancer Screening Non-numeric_Numeric
0.0007055083915208899,C Annual Flu Vaccine Non-numeric_Numeric
0.0006911954605759996,C Statin Therapy for Patients with Cardiovascular Disease Non-numeric_Numeric
0.0006722812594593154,D MPF Price Accuracy Non-numeric_Not enough data available
0.0006710165040981126,C Statin Therapy for Patients with Cardiovascular Disease Non-numeric_Plan not required to report measure
0.0006632269039299057,C Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Plan not required to report measure
0.0006242547292565253,D Drug Plan Quality Improvement Non-numeric_Not enough data available
0.000609886042029702,C Improving or Maintaining Physical Health Non-numeric_Not enough data available
0.0005945353727002994,C Improving or Maintaining Mental Health Non-numeric_Not enough data available
0.0005826694299419003,C Getting Needed Care Non-numeric_Not enough data available
0.0005513557924464116,D Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Plan not required to report measure
0.000534137937842276,C Improving Bladder Control Non-numeric_Plan too new to be measured
0.0005271740046049846,C Beneficiary Access and Performance Problems Non-numeric_Numeric
0.0005266785737006333,C Adult BMI Assessment Non-numeric_Numeric
0.0004894516161706856,C Customer Service Non-numeric_Plan too small to be measured
0.0004886657224099707,C Plan All-Cause Readmissions Non-numeric_Numeric
0.0004687042925634176,C Care Coordination Non-numeric_Plan too small to be measured
0.000455441281239633,C Rating of Health Care Quality Non-numeric_Not enough data available
0.0004481953236758073,C Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Not enough data available
0.0004436124027837513,C Breast Cancer Screening Non-numeric_Numeric
0.00043480957649450445,C Colorectal Cancer Screening Non-numeric_Plan not required to report measure
0.0004312094916133695,C Members Choosing to Leave the Plan Non-numeric_Not enough data available
0.0004120093647886612,C Diabetes Care – Eye Exam Non-numeric_Plan not required to report measure
0.00040631993845788127,C Improving Bladder Control Non-numeric_Plan not required to report measure
0.00039477957330524697,C Getting Needed Care Non-numeric_Plan too small to be measured
0.00036687873100921725,C Rating of Health Care Quality Non-numeric_Plan too small to be measured
0.0003505653289236872,C Annual Flu Vaccine Non-numeric_Plan too small to be measured
0.0003380957276412989,HD3: Member Experience with Health Plan Non-numeric_Not enough data available
0.0003323351057897512,C Care Coordination Non-numeric_Not enough data available
0.0003211406109862405,C Complaints about the Health Plan Non-numeric_Not enough data available
0.0003130386745762941,C Beneficiary Access and Performance Problems Non-numeric_Plan not required to report measure
0.0003107959452463041,D MTM Program Completion Rate for CMR Non-numeric_Numeric
0.0003070308497435826,D Getting Needed Prescription Drugs Non-numeric_Plan too small to be measured
0.00030498921661401885,C Breast Cancer Screening Non-numeric_Not enough data available
0.00029567860069030464,D Appeals Auto–Forward Non-numeric_Not enough data available
0.0002952975286833641,DD4: Drug Safety and Accuracy of Drug Pricing Non-numeric_Numeric
0.0002925113571250867,C Diabetes Care – Kidney Disease Monitoring Non-numeric_Plan not required to report measure
0.0002861708029845689,C Cardiovascular Care – Cholesterol Screening Non-numeric_Numeric
0.00028125241518097094,DD4: Drug Safety and Accuracy of Drug Pricing Non-numeric_Not enough data available
0.00027802455883433865,C Rating of Health Plan Non-numeric_Plan too small to be measured
0.00027535202255213646,Part D Summary Non-numeric_Numeric
0.0002704400855082705,Part C Summary Non-numeric_Not Applicable
0.0002700204805227912,HD2: Managing Chronic (Long Term) Conditions Non-numeric_Not enough data available
0.00026116526000894655,D High Risk Medication Non-numeric_Numeric
0.0002609927772774834,C Adult BMI Assessment Non-numeric_Plan not required to report measure
0.0002603443712108026,C Annual Flu Vaccine Non-numeric_Not enough data available
0.0002586946662404182,D Complaints about the Drug Plan Non-numeric_Not enough data available
0.0002524499779677892,C Diabetes Care – Blood Sugar Controlled Non-numeric_Plan not required to report measure
0.00024820211436231714,C Rheumatoid Arthritis Management Non-numeric_Plan not required to report measure
0.0002423262012569251,Overall Non-numeric_Not enough data available
0.00023970802810668662,DD2: Member Complaints and Changes in the Drug Plan’s Performance Non-numeric_Numeric
0.00023698611208005662,D MTM Program Completion Rate for CMR Non-numeric_Not enough data available
0.00023126128439373853,C Osteoporosis Management in Women who had a Fracture Non-numeric_Plan not required to report measure
0.00022852947866196493,C Improving or Maintaining Mental Health Non-numeric_Plan too small to be measured
0.0002208671714980895,"HD1: Staying Healthy: Screenings, Tests and Vaccines Non-numeric_Not enough data available"
0.00021589354708763763,C Cardiovascular Care – Cholesterol Screening Non-numeric_Not enough data available
0.00021530105765813637,Part D Summary Non-numeric_Not enough data available
0.00021255972685902476,C Statin Therapy for Patients with Cardiovascular Disease Non-numeric_Not enough data available
0.0002115978988516278,D MPF Price Accuracy Non-numeric_Plan too new to be measured
0.0002082988539091413,C Customer Service Non-numeric_Plan not required to report measure
0.0002038551573096815,C Colorectal Cancer Screening Non-numeric_Not enough data available
0.00020252769157256715,C Members Choosing to Leave the Plan Non-numeric_Plan not required to report measure
0.00020157064756539867,D Getting Needed Prescription Drugs Non-numeric_Plan too new to be measured
0.00019993541019634652,C Plan All-Cause Readmissions Non-numeric_Plan too new to be measured
0.00019475226847267353,C Breast Cancer Screening Non-numeric_Plan not required to report measure
0.0001925360003845902,Overall Non-numeric_Not Applicable
0.00018903948799091529,C Improving or Maintaining Physical Health Non-numeric_Plan too small to be measured
0.00018873335019782897,Part C Summary Non-numeric_Not enough data available
0.0001876133755400895,C Rating of Health Care Quality Non-numeric_Plan not required to report measure
0.00018209774282466852,C Adult BMI Assessment Non-numeric_Not enough data available
0.00018129100224344714,C Rating of Health Plan Non-numeric_Not enough data available
0.0001726296409266902,C Getting Appointments and Care Quickly Non-numeric_Plan too small to be measured
0.00016333241349052513,C Rheumatoid Arthritis Management Non-numeric_Benefit not offered by plan
0.0001630073308160159,C Osteoporosis Management in Women who had a Fracture Non-numeric_Benefit not offered by plan
0.00016003083023113053,C Improving or Maintaining Physical Health Non-numeric_Plan not required to report measure
0.00015617506200600495,D High Risk Medication Non-numeric_Not enough data available
0.00015467098601441918,C Annual Flu Vaccine Non-numeric_Plan not required to report measure
0.0001533683657449355,C Care Coordination Non-numeric_Plan not required to report measure
0.00015204877035558187,C Diabetes Care – Eye Exam Non-numeric_Numeric
0.00015187176428837845,D Rating of Drug Plan Non-numeric_Not enough data available
0.0001487113026915778,C Care for Older Adults – Medication Review Non-numeric_Plan too new to be measured
0.00014789844744140173,C Improving or Maintaining Mental Health Non-numeric_Plan not required to report measure
0.00014764875430593632,C Complaints about the Health Plan Non-numeric_Plan not required to report measure
0.000142998857237681,D Medication Adherence for Hypertension (RAS antagonists)  Non-numeric_Numeric
0.00013980583859680352,DD2: Member Complaints and Changes in the Drug Plan’s Performance Non-numeric_Not enough data available
0.00013817379503340319,C Getting Appointments and Care Quickly Non-numeric_Not enough data available
0.00013781280113970795,C Getting Appointments and Care Quickly Non-numeric_Plan not required to report measure
0.0001376452451014632,C Care for Older Adults – Pain Assessment Non-numeric_Plan too new to be measured
0.00013645679338063205,C Care for Older Adults – Pain Assessment Non-numeric_Plan too small to be measured
0.0001357089491474614,D Statin Use in Persons with Diabetes (SUPD) Non-numeric_Numeric
0.00013079789606074407,D Drug Plan Quality Improvement Non-numeric_Plan too new to be measured
0.00012853511906486933,C Care for Older Adults – Medication Review Non-numeric_Not enough data available
0.000128314042648337,C Diabetes Care – Cholesterol Controlled Non-numeric_Numeric
0.00012779535695522354,D Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Plan too new to be measured
0.00012655851174849151,C Care for Older Adults – Functional Status Assessment Non-numeric_Not enough data available
0.00012631084772034138,C Members Choosing to Leave the Plan Non-numeric_Plan too new to be measured
0.00012500307017932768,C Getting Needed Care Non-numeric_Plan not required to report measure
0.00012343717264206276,HD5: Health Plan Customer Service Non-numeric_Plan not required to report measure
0.0001225766546074667,C Care for Older Adults – Functional Status Assessment Non-numeric_Plan too new to be measured
0.00012079135533827999,C Special Needs Plan (SNP) Care Management Non-numeric_Plan too new to be measured
0.0001203781346051451,HD4: Member Complaints and Changes in the Health Plan's Performance Non-numeric_Plan too new to be measured
0.00012005494278245776,D Beneficiary Access and Performance Problems Non-numeric_Numeric
0.00011923314911297983,C Controlling Blood Pressure Non-numeric_Plan too new to be measured
0.00011851647220625679,C Diabetes Care – Cholesterol Screening Non-numeric_Numeric
0.00011823312728717096,D Appeals Auto–Forward Non-numeric_Plan too new to be measured
0.0001170501994853306,C Plan Makes Timely Decisions about Appeals Non-numeric_Plan not required to report measure
0.00011697681996966823,C Osteoporosis Management in Women who had a Fracture Non-numeric_Plan too new to be measured
0.00011603120725695018,C Diabetes Care – Kidney Disease Monitoring Non-numeric_Plan too small to be measured
0.00011276473419942765,C Diabetes Care – Blood Sugar Controlled Non-numeric_Numeric
0.00011217079034117376,D Appeals Upheld Non-numeric_Plan too new to be measured
0.00011104549590292837,D Medication Adherence for Cholesterol (Statins)  Non-numeric_Numeric
0.0001099385607086025,D High Risk Medication Non-numeric_Plan too new to be measured
0.00010978461471976935,C Call Center – Foreign Language Interpreter and TTY Availability Non-numeric_Plan too new to be measured
0.00010743076240128421,C Health Plan Quality Improvement Non-numeric_Plan too new to be measured
0.00010164347240310537,D Diabetes Treatment Non-numeric_Numeric
9.971014973462183e-05,C Cardiovascular Care – Cholesterol Screening Non-numeric_Plan not required to report measure
9.78157843254438e-05,C Reducing the Risk of Falling Non-numeric_Plan not required to report measure
9.725596496132221e-05,D Medication Adherence for Diabetes Medications  Non-numeric_Numeric
9.714661880003901e-05,C Monitoring Physical Activity Non-numeric_Plan not required to report measure
9.704666581868864e-05,C Complaints about the Health Plan Non-numeric_Plan too new to be measured
9.653317025019635e-05,DD3: Member Experience with the Drug Plan Non-numeric_Plan too new to be measured
9.47203899028404e-05,C Reviewing Appeals Decisions Non-numeric_Plan not required to report measure
9.443888914972003e-05,C Controlling Blood Pressure Non-numeric_Not enough data available
9.442927715652604e-05,C Diabetes Care – Cholesterol Screening Non-numeric_Plan not required to report measure
9.362060123538764e-05,D Medication Adherence for Hypertension (RAS antagonists) Non-numeric_Numeric
9.26716398500912e-05,HD4: Member Complaints and Changes in the Health Plan's Performance Non-numeric_Numeric
9.025725262658243e-05,Part D Summary Non-numeric_Plan too new to be measured
8.932764204027408e-05,C Care for Older Adults – Pain Assessment Non-numeric_Not enough data available
8.931478640722793e-05,C Health Plan Quality Improvement Non-numeric_Plan not required to report measure
8.828962910851273e-05,C Diabetes Care – Kidney Disease Monitoring Non-numeric_Numeric
8.785655979912151e-05,D Rating of Drug Plan Non-numeric_Plan too small to be measured
8.72785366171402e-05,C Controlling Blood Pressure Non-numeric_Plan too small to be measured
8.486405870693731e-05,D Medication Adherence for Diabetes Medications Non-numeric_Numeric
8.367105415191722e-05,"HD1: Staying Healthy: Screenings, Tests and Vaccines Non-numeric_Plan not required to report measure"
8.305396335580071e-05,D Beneficiary Access and Performance Problems Non-numeric_Not enough data available
8.209650940871026e-05,D Medication Adherence for Hypertension (RAS antagonists)  Non-numeric_Not enough data available
7.987169315969123e-05,C Plan All-Cause Readmissions Non-numeric_Plan too small to be measured
7.917014129055042e-05,C Diabetes Care – Cholesterol Controlled Non-numeric_Plan not required to report measure
7.905819612449773e-05,C Rheumatoid Arthritis Management Non-numeric_Plan too new to be measured
7.772674644395311e-05,HD3: Member Experience with Health Plan Non-numeric_Plan not required to report measure
7.715666587456412e-05,C Beneficiary Access and Performance Problems Non-numeric_Not enough data available
7.423720280358622e-05,DD4: Drug Safety and Accuracy of Drug Pricing Non-numeric_Plan too new to be measured
7.410284665887073e-05,D Medication Adherence for Cholesterol (Statins)  Non-numeric_Not enough data available
7.40121361077524e-05,D Rating of Drug Plan Non-numeric_Plan not required to report measure
7.36854228721345e-05,D Medication Adherence for Cholesterol (Statins) Non-numeric_Numeric
7.357383376451835e-05,HD4: Member Complaints and Changes in the Health Plan's Performance Non-numeric_Not enough data available
7.198625270854792e-05,D Statin Use in Persons with Diabetes (SUPD) Non-numeric_Plan too new to be measured
6.973948379484286e-05,C Medication Reconciliation Post-Discharge Non-numeric_Plan too new to be measured
6.887380192416412e-05,Part C Summary Non-numeric_Plan too new to be measured
6.86888723154859e-05,D Rating of Drug Plan Non-numeric_Plan too new to be measured
6.798821296568861e-05,C Care for Older Adults – Medication Review Non-numeric_Plan too small to be measured
6.728766705600608e-05,D Complaints about the Drug Plan Non-numeric_Plan too new to be measured
6.657255759287106e-05,DD1: Drug Plan Customer Service Non-numeric_Plan too new to be measured
6.591235000773085e-05,C Getting Appointments and Care Quickly Non-numeric_Plan too new to be measured
6.561373792754142e-05,C Medication Reconciliation Post-Discharge Non-numeric_Plan too small to be measured
6.524588730806582e-05,DD2: Member Complaints and Changes in the Drug Plan’s Performance Non-numeric_Plan too new to be measured
6.454103840531742e-05,Overall Non-numeric_Plan too new to be measured
6.378946215637238e-05,D Medication Adherence for Hypertension (RAS antagonists) Non-numeric_Plan not required to report measure
6.350168352543292e-05,C Diabetes Care – Blood Sugar Controlled Non-numeric_Plan too new to be measured
6.215663092022609e-05,C Osteoporosis Management in Women who had a Fracture Non-numeric_Plan too small to be measured
6.196360288669192e-05,C Care Coordination Non-numeric_Plan too new to be measured
6.184338450651972e-05,HD3: Member Experience with Health Plan Non-numeric_Plan too new to be measured
6.129739656180727e-05,C Reducing the Risk of Falling Non-numeric_Plan too small to be measured
6.0606759043780536e-05,C Rating of Health Care Quality Non-numeric_Plan too new to be measured
5.989125673858429e-05,C Care for Older Adults – Functional Status Assessment Non-numeric_Plan too small to be measured
5.943571283208456e-05,C Glaucoma Testing Non-numeric_Numeric
5.8399780162964804e-05,D MTM Program Completion Rate for CMR Non-numeric_Plan not required to report measure
5.817061374121742e-05,D Members Choosing to Leave the Plan Non-numeric_Plan too new to be measured
5.806691667176521e-05,C Colorectal Cancer Screening Non-numeric_Plan too new to be measured
5.7119369112828986e-05,HD4: Member Complaints and Changes in the Health Plan's Performance Non-numeric_Plan not required to report measure
5.655207654339652e-05,C Adult BMI Assessment Non-numeric_Plan too small to be measured
5.635080894012233e-05,C Reviewing Appeals Decisions Non-numeric_Plan too new to be measured
5.460830473684212e-05,D Beneficiary Access and Performance Problems Non-numeric_Plan too new to be measured
5.431719847387444e-05,HD2: Managing Chronic (Long Term) Conditions Non-numeric_Plan not required to report measure
5.377459622900523e-05,C Monitoring Physical Activity Non-numeric_Plan too small to be measured
5.31892100927168e-05,C Diabetes Care – Eye Exam Non-numeric_Plan too new to be measured
5.244336079507971e-05,D Complaints about the Drug Plan Non-numeric_Plan not required to report measure
5.213774068728627e-05,HD2: Managing Chronic (Long Term) Conditions Non-numeric_Plan too new to be measured
5.1158645571469e-05,DD1: Drug Plan Customer Service Non-numeric_Plan not required to report measure
5.097950359867144e-05,D Appeals Upheld Non-numeric_Plan not required to report measure
5.0896197891237836e-05,D Diabetes Treatment Non-numeric_Not enough data available
5.0895418731283344e-05,C Diabetes Care – Eye Exam Non-numeric_Plan too small to be measured
5.015318334446001e-05,C Rheumatoid Arthritis Management Non-numeric_Plan too small to be measured
4.978982915036635e-05,"HD1: Staying Healthy: Screenings, Tests and Vaccines Non-numeric_Plan too new to be measured"
4.960242459351144e-05,C Getting Needed Care Non-numeric_Plan too new to be measured
4.877656104476038e-05,D MPF Price Accuracy Non-numeric_Plan not required to report measure
4.874589953008771e-05,D Appeals Auto–Forward Non-numeric_Plan not required to report measure
4.866999252439906e-05,C Rating of Health Plan Non-numeric_Plan too new to be measured
4.789961207499143e-05,DD2: Member Complaints and Changes in the Drug Plan’s Performance Non-numeric_Plan not required to report measure
4.779396172805814e-05,D Getting Needed Prescription Drugs Non-numeric_Plan not required to report measure
4.773401303220944e-05,D Medication Adherence for Diabetes Medications  Non-numeric_Plan too new to be measured
4.7595668369740515e-05,C Diabetes Care – Cholesterol Screening Non-numeric_Plan too small to be measured
4.5758067922549114e-05,C Diabetes Care – Blood Sugar Controlled Non-numeric_Plan too small to be measured
4.5150187811518026e-05,D Diabetes Treatment Non-numeric_Plan too new to be measured
4.377007389981299e-05,C Plan Makes Timely Decisions about Appeals Non-numeric_Plan too new to be measured
4.346780650048595e-05,C Rating of Health Plan Non-numeric_Plan not required to report measure
4.2990552041527454e-05,Part D Summary Non-numeric_Not Applicable
4.2980550613759074e-05,D Drug Plan Quality Improvement Non-numeric_Plan not required to report measure
4.2967891538699207e-05,HD5: Health Plan Customer Service Non-numeric_Plan too new to be measured
4.289416303005861e-05,C Breast Cancer Screening Non-numeric_Plan too small to be measured
4.28165469171481e-05,C Adult BMI Assessment Non-numeric_Plan too new to be measured
4.05687195587485e-05,D Statin Use in Persons with Diabetes (SUPD) Non-numeric_Plan not required to report measure
4.04643775414072e-05,C Diabetes Care – Kidney Disease Monitoring Non-numeric_Plan too new to be measured
3.965799366801348e-05,C Care for Older Adults – Pain Screening Non-numeric_Plan too new to be measured
3.9325219709632026e-05,D Medication Adherence for Hypertension (RAS antagonists)  Non-numeric_Plan too new to be measured
3.9174069551976945e-05,C Diabetes Care – Cholesterol Screening Non-numeric_Plan too new to be measured
3.914686111698609e-05,C Colorectal Cancer Screening Non-numeric_Plan too small to be measured
3.880744326121501e-05,DD4: Drug Safety and Accuracy of Drug Pricing Non-numeric_Plan not required to report measure
3.866656568188272e-05,C Breast Cancer Screening Non-numeric_Plan too new to be measured
3.856630324839579e-05,C Glaucoma Testing Non-numeric_Not enough data available
3.84446996129243e-05,D Medication Adherence for Diabetes Medications Non-numeric_Plan not required to report measure
3.7158185730372304e-05,D Beneficiary Access and Performance Problems Non-numeric_Plan not required to report measure
3.69429067386063e-05,DD3: Member Experience with the Drug Plan Non-numeric_Plan not required to report measure
3.668162542735454e-05,C Cardiovascular Care – Cholesterol Screening Non-numeric_Plan too new to be measured
3.5882102718821465e-05,C Cardiovascular Care – Cholesterol Screening Non-numeric_Plan too small to be measured
3.5521931892858115e-05,D High Risk Medication Non-numeric_Plan not required to report measure
3.517374981525495e-05,D Medication Adherence for Diabetes Medications  Non-numeric_Not enough data available
3.5135357809445716e-05,C Diabetes Care – Cholesterol Controlled Non-numeric_Plan too new to be measured
3.298787737679888e-05,C Beneficiary Access and Performance Problems Non-numeric_Plan too new to be measured
3.2888468331992274e-05,D Medication Adherence for Cholesterol (Statins) Non-numeric_Plan too new to be measured
3.2745768306025326e-05,C Annual Flu Vaccine Non-numeric_Plan too new to be measured
3.143902702324905e-05,D Medication Adherence for Cholesterol (Statins)  Non-numeric_Plan not required to report measure
3.0930858529312756e-05,C Diabetes Care – Cholesterol Controlled Non-numeric_Plan too small to be measured
