2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0148,Demo,Blue Shield Of California Promise Health Plan,Blue Shield of California Promise Health Plan,California Physicians' Service,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154,Local CCP,"Viva Health, Inc.",VIVA Medicare,"Triton Health Systems, L.L.C.",3,4,4,4,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0169,Local CCP,"Unitedhealthcare Of The Midwest, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,4,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0174,Local CCP,"Wellcare Of Texas, Inc.",WellCare,"WellCare Health Plans, Inc.",4,3,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0192,Demo,"Amerihealth Michigan, Inc.",AmeriHealth Caritas VIP Care Plus,Independence Health Group,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0251,Local CCP,"Unitedhealthcare Plan Of The River Valley, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,4,4,5,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0270,Local CCP,Wellcare Health Insurance Company Of America,WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0271,Local CCP,"Symphonix Health Insurance, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0281,Demo,Illinicare Health Plan,IlliniCare Health,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0292,Local CCP,"Humana Health Plan Of Ohio, Inc.",Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0294,Local CCP,Care Improvement Plus Wisconsin Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,5,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0302,Local CCP,"Medisun, Inc.",Blue Cross Blue Shield of Arizona Advantage,Blue Cross Blue Shield of Arizona,3,3,2,4,4,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0321,Local CCP,"Arizona Physicians Ipa, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,5,5,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0332,Local CCP,"Ks Plan Administrators, Llc",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",5,4,5,4,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0336,Demo,"Humana Health Plan, Inc.",Humana,Humana Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0351,Local CCP,"Health Net Of Arizona, Inc.",Allwell,Centene Corporation,2,3,2,3,4,3,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0354,Local CCP,"Cigna Healthcare Of Arizona, Inc.",Cigna,CIGNA,4,4,4,4,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0422,Local CCP,"Ucare Health, Inc.",UCare,UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0423,Local CCP,"Metroplus Health Plan, Inc.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,4,4,2,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0432,Local CCP,"Unitedhealthcare Of Alabama, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,3,5,5,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0439,Local CCP,"Cigna Healthcare Of Georgia, Inc.",Cigna,CIGNA,4,4,3,4,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0473,Local CCP,Humana Insurance Company Of Kentucky,Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0480,Demo,"Meridian Health Plan Of Michigan, Inc.",MeridianComplete,"WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0504,Local CCP,California Physicians' Service,Blue Shield of California,California Physicians' Service,4,4,3,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0523,Local CCP,Aetna Health Of California Inc.,Aetna Medicare,CVS Health Corporation,4,4,2,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0524,Local CCP,"Kaiser Foundation Hp, Inc.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,4,4,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0543,Local CCP,Uhc Of California,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0544,Local CCP,Blue Cross Of California,Anthem Blue Cross,Anthem Inc.,4,4,3,4,5,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0545,Local CCP,"Inter Valley Health Plan, Inc.",Inter Valley Health Plan,InterValley Health Plan,4,4,3,4,2,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0562,Local CCP,"Health Net Of California,inc.",Health Net of California,Centene Corporation,4,4,3,5,4,3,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0571,Local CCP,Chinese Community Health Plan,Chinese Community Health Plan,Chinese Hospital Association,4,4,3,4,3,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0602,1876 Cost,Rocky Mountain Health Maintenance Organization,Rocky Mountain Health Plans,"UnitedHealth Group, Inc.",3,3,3,4,4,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0609,Local CCP,"Pacificare Of Colorado, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,5,5,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0624,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0628,Local CCP,Aetna Health Of Ohio Inc.,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0630,Local CCP,Kaiser Foundation Hp Of Co,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4,5,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0657,1876 Cost,"Friday Health Plans Of Colorado, Inc.",Friday Health Plans of Colorado,"Friday Health Plans, Inc.",2,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0672,Local CCP,"Cigna Healthcare Of Colorado, Inc.",Cigna,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0710,Local CCP,"Sierra Health And Life Insurance Company, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,5,Not enough data available,5,5,5,5,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0712,Local CCP,"Wellcare Of Connecticut, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,2,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0724,Local CCP,Buckeye Health Plan Community Solutions,Allwell,Centene Corporation,Not enough data available,Not enough data available,3,3,Not enough data available,5,3,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0755,Local CCP,"Oxford Health Plans (ct), Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0798,Local CCP,Medica Community Health Plan,Medica,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0838,Local CCP,"Universal Care, Inc.",Brand New Day,"Universal Care, Inc",3,4,1,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0908,Local CCP,"Buckeye Community Health Plan, Inc.",Allwell,Centene Corporation,4,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0913,Local CCP,"Wellcare Health Plans Of New Jersey, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,2,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0927,Demo,Health Care Service Corporation,Blue Cross Community MMAI,Health Care Service Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0969,Local CCP,Wellcare Health Insurance Company Of New Hampshire,Wellcare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0982,Local CCP,"Solis Health Plans, Inc.",Solis Health Plans,"Athena Healthcare Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1016,Local CCP,"Avmed, Inc.",AvMed Medicare,"AvMed, Inc.",4,4,3,4,5,4,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1019,Local CCP,"Careplus Health Plans, Inc.","CarePlus Health Plans, Inc.",Humana Inc.,4,4,4,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1032,Local CCP,"Wellcare Of Florida, Inc.",WellCare,"WellCare Health Plans, Inc.",3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1035,Local CCP,"Florida Blue Medicare, Inc.",Florida Blue HMO,Guidewell Mutual Holding Corporation,4,4,5,4,4,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1036,Local CCP,"Humana Medical Plan, Inc.",Humana,Humana Inc.,4,4,4,4,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1045,Local CCP,"Preferred Care Partners, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1099,Local CCP,Health First Health Plans,"Health First Health Plans, Inc.","Health First, Inc.",4,3,4,4,5,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1100,Local CCP,Innovation Health Insurance Company,Innovation Health Medicare,"Innovation Health Holdings, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1109,Local CCP,Aetna Health Inc.(ga),Aetna Medicare,CVS Health Corporation,3,3,3,3,5,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1111,Local CCP,"Unitedhealthcare Of Georgia, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,2,4,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1112,Local CCP,"Wellcare Of Georgia, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,3,4,5,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1119,Local CCP,"Tsg Guard, Inc.",Valor Health Plan,"The Schroer Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1142,Local CCP,"Bright Health Insurance Company Of Ohio, Inc.",Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1170,Local CCP,"Kaiser Foundation Hp Of Ga, Inc.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,4,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1181,MSA,Network Health Insurance Corporation,Network Health Medicare Advantage Plans,"Network Health, Inc.",3,3,4,4,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1189,Local CCP,Christus Health Plan,CHRISTUS Health Plan Generations,CHRISTUS Health,2,3,3,4,Not enough data available,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1205,Local CCP,"Integra Mltc, Inc.",Integra Managed Care,Personal Touch Holding Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1225,Local CCP,"Hopkins Health Advantage, Inc.",Johns Hopkins HealthCare,Johns Hopkins Healthcare LLC,4,Not enough data available,3,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1230,Local CCP,"Kaiser Foundation Hp, Inc.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4,5,4,4,Not enough data available,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1248,Local CCP,Louisiana Health Service & Indemnity Company,Blue Cross and Blue Shield of Louisiana,Louisiana Health Service & Indemnity Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1277,Local CCP,"Align Senior Care, Inc.",Align Senior Care,"Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1278,Local CCP,Harken Health Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1286,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1290,Local CCP,"Devoted Health Plan Of Florida, Inc.",Devoted Health,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1302,Local CCP,"Blue Cross Of Idaho Care Plus, Inc.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",2,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1304,Local CCP,Regence Blueshield Of Idaho,Regence BlueShield Of Idaho,"Cambia Health Solutions, Inc.",4,4,3,5,Not enough data available,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1350,Local CCP,"Blue Cross Of Idaho Care Plus, Inc.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",3,4,4,5,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1352,Local CCP,"Blue-advantage Plus Of Kansas City, Inc.",Blue Cross and Blue Shield of Kansas City (Blue KC,Blue Cross and Blue Shield of Kansas City,4,3,4,4,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1353,Local CCP,"Wellcare Of Washington, Inc.",Wellcare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1365,Local CCP,"Martin's Point Generations Advantage, Inc.",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",4,4,5,4,Not enough data available,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1372,Local CCP,"Marquis Advantage, Inc.",AgeRight Advantage,"Marquis Companies I, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1375,Local CCP,"Unitedhealthcare Community Plan Of California, Inc",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1393,Local CCP,Bright Health Insurance Company Of Tennessee,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1415,Local CCP,"Healthspring Life & Health Insurance Company, Inc.",Cigna,CIGNA,4,4,2,4,5,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1416,Local CCP,"Harmony Health Plan,  Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,3,4,5,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1426,Local CCP,"Vitality Health Plan Of California, Inc.",Vitality Health Plan of California,"Vitality Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1436,Local CCP,"Absolute Total Care, Inc.",Allwell,Centene Corporation,Not enough data available,3,2,3,Not enough data available,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1463,Local CCP,"Health Alliance Connect, Inc.",Health Alliance Medicare,The Carle Foundation,4,3,5,4,3,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
