2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0107,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,Health Care Service Corporation,Not enough data available,63%,95%,80%,39%,93,00:29,79%,96%,4.00%,79%,79%,53%,7%,33,45%,66%,60%,44%,CMS Found Issues with Plan's Data,85%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,100%,No data available,4.00%,00:29,3%,0.63%,100%,100,00:07,93,34%,15%,6%,10%,9%,18%,0.49,94,4.06,22%,7%,42%,9%,13%,100
H0111,WellCare,"Wellcare Of Georgia, Inc.","WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,00:55,64%,96%,0.78%,73%,86%,31%,2%,67,Not enough data available,61%,54%,53%,4%,77%,1%,34%,No data available,No data available,0.78%,00:55,5%,0.45%,100%,102,01:26,91,58%,39%,8%,9%,8%,No data available,0.00,96,9.64,28%,42%,24%,7%,19%,100
H0137,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",72%,51%,93%,Not enough data available,30%,Not enough data available,00:59,49%,98%,3.13%,74%,89%,42%,12%,No data available,91%,72%,67%,43%,64%,85%,35%,57%,76%,80.00%,3.13%,00:59,3%,0.82%,100%,100,00:05,22,63%,46%,23%,No data available,No data available,No data available,2.13,99,1.87,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0148,Blue Shield of California Promise Health Plan,Blue Shield Of California Promise Health Plan,California Physicians' Service,19%,60%,Not enough data available,56%,20%,91,02:30,62%,80%,2.34%,54%,74%,71%,6%,39,Not enough data available,66%,41%,32%,1%,68%,0%,25%,No data available,No data available,2.34%,02:30,2%,0.22%,81%,100,00:04,92,58%,50%,6%,6%,6%,6%,0.00,98,4.82,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0154,VIVA Medicare,"Viva Health, Inc.","Triton Health Systems, L.L.C.",45%,53%,87%,80%,34%,91,00:05,66%,97%,0.78%,53%,67%,35%,3%,45,97%,69%,49%,75%,47%,85%,36%,61%,100%,No data available,0.78%,00:05,4%,0.07%,100%,98,00:21,94,61%,43%,10%,11%,10%,18%,0.45,82,1.34,19%,20%,12%,10%,11%,100
H0169,UnitedHealthcare,"Unitedhealthcare Of The Midwest, Inc.","UnitedHealth Group, Inc.",57%,78%,Not enough data available,No data available,Not enough data available,90,00:30,66%,98%,2.09%,76%,84%,41%,5%,No data available,100%,77%,64%,53%,5%,80%,0%,35%,100%,No data available,2.09%,00:30,4%,0.03%,96%,100,00:26,95,58%,45%,19%,8%,6%,13%,0.85,95,1.19,16%,23%,13%,Not Available,6%,100
H0174,WellCare,"Wellcare Of Texas, Inc.","WellCare Health Plans, Inc.",39%,45%,76%,63%,37%,No data available,00:55,No data available,92%,0.00%,68%,75%,30%,4%,52,Not enough data available,58%,46%,49%,2%,74%,0%,31%,No data available,No data available,0.00%,00:55,3%,0.00%,100%,102,00:49,92,No data available,No data available,6%,3%,4%,No data available,0.00,97,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0192,AmeriHealth Caritas VIP Care Plus,"Amerihealth Michigan, Inc.",Independence Health Group,35%,44%,Not enough data available,Not enough data available,26%,Not enough data available,00:16,50%,86%,2.36%,59%,80%,43%,5%,51,100%,52%,49%,12%,4%,47%,3%,16%,100%,100.00%,2.36%,00:16,3%,0.17%,96%,100,00:05,90,59%,43%,9%,8%,6%,9%,1.62,87,10.22,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0251,UnitedHealthcare,"Unitedhealthcare Plan Of The River Valley, Inc.","UnitedHealth Group, Inc.",48%,50%,93%,61%,31%,92,00:26,55%,96%,3.11%,69%,82%,36%,5%,47,94%,72%,51%,45%,4%,80%,0%,32%,100%,100.00%,3.11%,00:26,6%,0.12%,96%,100,00:26,95,62%,55%,21%,10%,10%,10%,0.79,95,1.23,12%,25%,7%,3%,7%,100
H0270,WellCare,Wellcare Health Insurance Company Of America,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,01:49,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,01:49,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,01:26,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0271,UnitedHealthcare,"Symphonix Health Insurance, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:27,Plan too new to be measured,Plan too new to be measured,1.95%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.95%,00:27,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:26,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0281,IlliniCare Health,Illinicare Health Plan,Centene Corporation,45%,47%,Not enough data available,Not enough data available,21%,Not enough data available,00:05,48%,85%,2.33%,71%,85%,49%,11%,85,64%,51%,48%,26%,5%,55%,3%,22%,50%,No data available,2.33%,00:05,3%,0.00%,100%,100,00:09,93,59%,46%,7%,10%,11%,10%,0.00,95,7.93,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0292,Humana,"Humana Health Plan Of Ohio, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:17,Plan too new to be measured,Plan too new to be measured,1.62%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.62%,00:17,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,UnitedHealthcare,Care Improvement Plus Wisconsin Insurance Company,"UnitedHealth Group, Inc.",55%,69%,91%,84%,34%,93,00:21,81%,97%,1.36%,84%,81%,39%,5%,42,98%,77%,57%,56%,30%,88%,8%,45%,100%,No data available,1.36%,00:21,3%,0.08%,96%,101,00:26,94,57%,27%,8%,8%,8%,No data available,0.75,94,5.86,14%,12%,36%,9%,9%,100
H0302,Blue Cross Blue Shield of Arizona Advantage,"Medisun, Inc.",Blue Cross Blue Shield of Arizona,39%,66%,88%,88%,45%,Not enough data available,00:22,80%,96%,2.34%,77%,80%,30%,2%,28,93%,62%,66%,59%,16%,84%,17%,44%,100%,100.00%,2.34%,00:22,3%,0.71%,100%,101,00:05,72,38%,24%,9%,9%,8%,6%,1.36,98,5.15,17%,37%,21%,8%,6%,80
H0321,UnitedHealthcare,"Arizona Physicians Ipa, Inc.","UnitedHealth Group, Inc.",60%,48%,80%,72%,33%,91,00:36,61%,96%,1.38%,70%,86%,36%,6%,46,95%,73%,61%,60%,5%,83%,0%,37%,100%,No data available,1.38%,00:36,4%,0.05%,96%,101,00:26,95,58%,46%,14%,12%,12%,13%,2.43,93,1.55,9%,17%,13%,6%,6%,100
H0332,KelseyCare Advantage,"Ks Plan Administrators, Llc","Kelsey-Seybold Medical Group, PLLC",46%,55%,86%,90%,52%,94,00:07,85%,98%,0.78%,73%,73%,20%,1%,44,100%,95%,64%,90%,52%,90%,46%,70%,100%,No data available,0.78%,00:07,3%,0.14%,100%,101,00:16,84,50%,21%,2%,11%,11%,9%,0.00,77,0.99,16%,30%,11%,5%,10%,100
H0336,Humana,"Humana Health Plan, Inc.",Humana Inc.,39%,78%,Not enough data available,50%,24%,Not enough data available,00:23,56%,91%,1.56%,74%,86%,54%,7%,60,91%,76%,51%,35%,1%,75%,1%,28%,100%,No data available,1.56%,00:23,2%,0.59%,100%,100,00:10,85,64%,49%,7%,8%,5%,9%,0.00,96,1.56,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0351,Allwell,"Health Net Of Arizona, Inc.",Centene Corporation,53%,51%,84%,75%,39%,Not enough data available,00:06,64%,93%,3.10%,73%,77%,26%,2%,38,97%,73%,61%,56%,7%,87%,0%,37%,75%,100.00%,3.10%,00:06,3%,0.03%,100%,100,00:09,94,43%,25%,6%,9%,9%,No data available,0.44,94,3.22,27%,17%,38%,10%,16%,100
H0354,Cigna,"Cigna Healthcare Of Arizona, Inc.",CIGNA,56%,54%,88%,88%,40%,91,00:02,83%,97%,2.34%,75%,77%,20%,2%,35,94%,84%,70%,74%,36%,90%,9%,52%,33%,100.00%,2.34%,00:02,3%,0.08%,100%,97,00:05,90,45%,28%,6%,11%,11%,9%,0.55,82,CMS identified issues with this plan's data,18%,39%,15%,8%,10%,100
H0422,UCare,"Ucare Health, Inc.",UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:18,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.33%,00:17,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:04,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0423,MetroPlus Health Plan,"Metroplus Health Plan, Inc.",New York City Health and Hospitals Corporation,60%,50%,Not enough data available,63%,42%,91,00:27,64%,95%,0.78%,66%,94%,41%,7%,88,100%,81%,47%,71%,16%,79%,11%,44%,100%,100.00%,0.78%,00:27,2%,0.04%,100%,101,00:21,92,63%,57%,6%,13%,14%,No data available,0.00,86,0.16,13%,20%,13%,Not Available,12%,80
H0432,UnitedHealthcare,"Unitedhealthcare Of Alabama, Inc.","UnitedHealth Group, Inc.",46%,67%,Not enough data available,No data available,Not enough data available,90,00:26,51%,96%,2.09%,65%,64%,47%,2%,No data available,100%,63%,34%,54%,9%,82%,0%,36%,100%,No data available,2.09%,00:26,4%,0.06%,96%,100,00:26,94,57%,49%,17%,8%,8%,No data available,0.49,95,5.85,25%,50%,18%,Not Available,17%,100
H0439,Cigna,"Cigna Healthcare Of Georgia, Inc.",CIGNA,42%,52%,84%,73%,43%,91,00:11,74%,97%,0.63%,68%,76%,38%,2%,38,97%,70%,50%,57%,10%,85%,6%,39%,100%,100.00%,0.63%,00:11,4%,0.15%,100%,98,00:05,90,51%,39%,8%,12%,12%,13%,0.22,85,6.17,19%,23%,31%,13%,9%,100
H0473,Humana,Humana Insurance Company Of Kentucky,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:19,Plan too new to be measured,Plan too new to be measured,1.60%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.60%,00:19,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0480,MeridianComplete,"Meridian Health Plan Of Michigan, Inc.","WellCare Health Plans, Inc.",Not enough data available,48%,Not enough data available,53%,18%,Not enough data available,01:10,55%,94%,0.78%,76%,90%,34%,4%,41,89%,68%,53%,32%,1%,75%,16%,31%,No data available,No data available,0.78%,01:10,4%,0.17%,100%,99,00:13,36,59%,53%,14%,11%,11%,11%,0.00,96,1.79,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0504,Blue Shield of California,California Physicians' Service,California Physicians' Service,37%,55%,89%,76%,30%,89,00:54,76%,95%,1.57%,56%,72%,17%,1%,36,97%,69%,57%,60%,25%,83%,13%,45%,100%,100.00%,1.57%,00:54,2%,0.63%,100%,100,00:04,88,57%,26%,8%,9%,9%,10%,0.60,88,2.89,16%,21%,25%,11%,9%,80
H0523,Aetna Medicare,Aetna Health Of California Inc.,CVS Health Corporation,37%,56%,Not enough data available,74%,25%,Not enough data available,01:13,72%,95%,0.71%,61%,74%,77%,5%,23,97%,69%,49%,61%,7%,77%,1%,36%,100%,No data available,0.71%,01:13,2%,0.71%,100%,100,00:26,97,63%,29%,6%,9%,8%,9%,0.00,98,6.54,22%,31%,19%,10%,12%,100
H0524,Kaiser Permanente,"Kaiser Foundation Hp, Inc.","Kaiser Foundation Health Plan, Inc.",78%,62%,96%,81%,62%,91,00:28,83%,96%,1.59%,87%,95%,32%,9%,34,98%,86%,52%,96%,85%,97%,83%,90%,95%,100.00%,1.59%,00:28,2%,1.06%,100%,100,00:06,46,37%,24%,6%,14%,13%,15%,0.12,100,CMS identified issues with this plan's data,22%,16%,34%,7%,14%,100
H0543,UnitedHealthcare,Uhc Of California,"UnitedHealth Group, Inc.",35%,54%,86%,78%,29%,90,01:03,77%,95%,1.47%,68%,79%,12%,1%,30,98%,73%,55%,60%,12%,89%,2%,41%,98%,100.00%,1.47%,01:03,2%,0.03%,96%,100,00:26,94,50%,26%,8%,11%,11%,10%,0.59,94,2.91,18%,28%,23%,Not Available,17%,100
H0544,Anthem Blue Cross,Blue Cross Of California,Anthem Inc.,34%,49%,81%,64%,29%,90,01:19,67%,94%,0.39%,65%,78%,12%,1%,29,97%,65%,51%,58%,4%,82%,1%,37%,76%,100.00%,0.39%,01:19,2%,0.20%,100%,100,00:04,87,56%,35%,6%,11%,11%,7%,0.16,82,CMS identified issues with this plan's data,22%,47%,18%,Not Available,13%,80
