2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0104,Blue Cross and Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,51%,58%,87%,32%,93,0:09,69%,97%,4.17%,69%,76%,26%,2%,14%,53%,87%,62%,91%,17%,64%,12%,13%,12%,97%,Plan not required to report measure,35%,66%,79%,0%,0%,0%,2%,4.17%,0:09,101,0:18,65,46%,20%,8%,15%,15.54%,3.69%,0.26%,5.69%,12.50%,13.41%,3.71,9%,4%,24%,Not Available,7%,100
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Not enough data available,69%,Not enough data available,33%,93,0:20,83%,96%,2.70%,78%,82%,37%,4%,11%,58%,70%,59%,88%,53%,68%,10%,Not enough data available,9%,96%,Plan not required to report measure,44%,65%,84%,6%,14%,10%,15%,2.70%,0:20,100,0:15,65,40%,16%,8%,6%,13.16%,5.69%,0.08%,4.68%,8.97%,11.18%,3.4,17%,12%,28%,10%,13%,100
H0111,Wellcare,"WELLCARE OF GEORGIA, INC.",Centene Corporation,43%,65%,Not enough data available,33%,91,1:10,70%,96%,1.20%,69%,79%,37%,6%,14%,51%,44%,22%,77%,10%,38%,12%,14%,11%,98%,68%,42%,73%,82%,0%,5%,7%,5%,1.20%,1:10,99,1:06,92,60%,41%,10%,No data available,16.13%,7.94%,0.55%,8.18%,13.94%,17.83%,10.2,19%,30%,19%,Not Available,17%,100
H0137,Commonwealth Care Alliance Massachusetts,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",66%,72%,95%,23%,No data available,0:57,52%,97%,4.26%,72%,86%,40%,12%,42%,72%,53%,76%,94%,56%,70%,16%,16%,16%,87%,Plan not required to report measure,45%,87%,100%,0%,2%,3%,3%,4.26%,0:57,100,2:12,56,62%,42%,8%,No data available,31.27%,11.42%,1.10%,19.04%,31.12%,7.03%,0.04,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0148,Blue Shield of California Promise Health Plan,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,California Physicians' Service,50%,67%,Not enough data available,19%,89,0:10,69%,85%,2.15%,Not enough data available,Not enough data available,27%,3%,8%,54%,52%,8%,78%,2%,35%,12%,Not enough data available,13%,97%,Plan not required to report measure,61%,66%,81%,0%,0%,0%,0%,2.15%,0:10,103,0:40,91,59%,45%,6%,0%,12.34%,5.22%,1.12%,6.82%,10.62%,15.30%,0.23,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0154,VIVA Medicare,"VIVA HEALTH, INC.","Triton Health Systems, L.L.C.",54%,63%,85%,29%,93,0:26,66%,97%,1.11%,72%,81%,23%,3%,16%,49%,84%,60%,88%,51%,71%,10%,9%,10%,92%,90%,41%,62%,77%,1%,3%,3%,3%,1.11%,0:26,99,1:01,94,59%,37%,11%,12%,18.19%,2.70%,0.46%,10.76%,17.40%,18.37%,3.5,5%,15%,11%,6%,6%,100
H0169,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",61%,65%,95%,26%,91,0:26,60%,98%,2.65%,77%,86%,32%,5%,26%,58%,65%,18%,85%,11%,45%,14%,14%,15%,90%,82%,35%,69%,79%,2%,5%,4%,5%,2.65%,0:26,100,0:36,59,60%,44%,8%,10%,24.73%,6.94%,0.49%,17.27%,27.80%,15.36%,2.9,19%,19%,13%,Not Available,12%,100
H0174,Wellcare,"WELLCARE OF TEXAS, INC.",Centene Corporation,32%,54%,78%,25%,No data available,0:57,62%,90%,2.33%,65%,75%,26%,2%,15%,48%,37%,9%,69%,4%,30%,12%,12%,12%,95%,71%,49%,65%,80%,1%,3%,2%,2%,2.33%,0:57,99,1:06,92,63%,48%,5%,5%,11.34%,1.81%,0.22%,8.24%,9.52%,17.03%,12.34,26%,32%,16%,Not Available,24%,100
H0192,AmeriHealth Caritas VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.","Independence Health Group, Inc.",32%,60%,Not enough data available,17%,No data available,0:20,52%,87%,0.00%,55%,92%,40%,4%,24%,51%,64%,2%,75%,3%,36%,18%,21%,16%,92%,Plan not required to report measure,33%,66%,82%,3%,3%,3%,0%,0.00%,0:20,100,0:04,71,63%,49%,3%,1%,17.83%,5.55%,1.26%,10.37%,15.71%,13.78%,0.11,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0251,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",53%,61%,94%,24%,91,0:22,55%,96%,2.52%,75%,87%,35%,7%,25%,53%,61%,6%,82%,7%,39%,14%,14%,15%,93%,77%,32%,67%,80%,1%,2%,1%,2%,2.52%,0:22,100,0:36,58,59%,46%,8%,7%,19.41%,6.86%,0.29%,16.60%,23.93%,14.26%,5.53,6%,23%,11%,Not Available,7%,100
H0270,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:57,Plan too small to be measured,94%,0.49%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,43%,19%,71%,14%,37%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,78%,24%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.49%,0:57,96,1:06,93,Plan too new to be measured,Plan too new to be measured,5%,No data available,10.38%,1.54%,0.00%,6.93%,11.52%,11.00%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0271,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",52%,63%,91%,28%,Plan too new to be measured,0:34,61%,97%,1.45%,75%,87%,39%,7%,20%,56%,62%,14%,85%,12%,43%,11%,11%,11%,Plan too new to be measured,73%,36%,Plan too new to be measured,Plan too new to be measured,2%,4%,4%,4%,1.45%,0:34,100,0:36,57,56%,36%,7%,9%,18.94%,9.21%,0.42%,13.99%,18.29%,15.24%,9.39,16%,19%,29%,Not Available,14%,100
H0292,Humana,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana Inc.,Not enough data available,70%,Not enough data available,26%,93,0:14,81%,98%,0.82%,83%,72%,75%,10%,19%,76%,91%,26%,94%,12%,56%,14%,11%,14%,Plan too new to be measured,Plan not required to report measure,39%,Plan too new to be measured,Plan too new to be measured,1%,16%,7%,8%,0.82%,0:14,100,0:47,86,53%,22%,7%,No data available,16.70%,6.59%,0.10%,9.17%,12.67%,19.86%,2.1,15%,12%,25%,Not Available,14%,100
H0294,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",53%,73%,93%,34%,93,0:34,80%,96%,0.29%,81%,78%,38%,7%,11%,64%,64%,24%,90%,14%,48%,10%,11%,9%,96%,76%,51%,68%,82%,6%,18%,11%,23%,0.49%,0:36,100,0:36,55,50%,20%,9%,10%,11.66%,3.95%,0.58%,6.61%,8.65%,10.79%,4.83,13%,23%,21%,Not Available,14%,100
H0302,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona,57%,75%,79%,38%,No data available,0:20,78%,96%,3.03%,69%,84%,24%,1%,10%,68%,56%,16%,88%,14%,43%,11%,10%,11%,98%,Plan not required to report measure,62%,67%,86%,2%,6%,4%,5%,3.03%,0:20,100,0:17,92,50%,27%,9%,No data available,10.24%,9.19%,0.00%,7.28%,9.23%,5.07%,8.07,14%,14%,22%,7%,7%,80
H0321,UnitedHealthcare,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",71%,58%,84%,27%,No data available,0:17,60%,96%,3.13%,71%,85%,39%,10%,20%,63%,59%,5%,86%,4%,38%,15%,14%,15%,89%,70%,44%,64%,78%,1%,2%,3%,2%,3.13%,0:17,100,0:36,57,53%,38%,8%,4%,7.69%,14.13%,0.53%,13.84%,16.42%,10.24%,3.72,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","UnitedHealth Group, Inc.",Not enough data available,57%,81%,29%,93,0:55,84%,96%,0.00%,74%,86%,16%,2%,13%,54%,83%,99%,88%,52%,80%,12%,13%,12%,98%,Plan not required to report measure,87%,67%,77%,3%,4%,3%,2%,0.00%,0:55,102,0:27,86,62%,29%,9%,5%,10.66%,1.65%,0.21%,3.67%,8.35%,15.59%,3.09,22%,22%,18%,Not Available,18%,100
H0336,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,35%,86%,Not enough data available,21%,No data available,0:13,50%,92%,0.00%,80%,90%,52%,8%,23%,71%,65%,15%,86%,12%,44%,14%,14%,14%,85%,Plan not required to report measure,57%,66%,78%,8%,8%,8%,5%,0.00%,0:13,100,0:48,91,63%,46%,6%,7%,17.23%,4.11%,0.62%,7.29%,11.56%,20.63%,0.01,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0342,CarePartners of Connecticut,"CAREPARTNERS OF CONNECTICUT, INC.","Point32Health, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:25,Plan too small to be measured,Plan too small to be measured,1.12%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.12%,0:25,99,1:01,94,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,13.93%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0351,Wellcare by Allwell,"HEALTH NET OF ARIZONA, INC.",Centene Corporation,41%,65%,Not enough data available,31%,No data available,2:02,70%,92%,5.26%,66%,79%,26%,3%,11%,57%,63%,12%,84%,6%,41%,11%,15%,10%,95%,78%,50%,69%,78%,1%,3%,3%,2%,5.26%,2:02,100,0:12,96,52%,30%,7%,No data available,6.85%,9.02%,0.00%,7.81%,10.01%,13.77%,6.59,19%,24%,18%,16%,16%,100
H0354,Cigna,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,54%,63%,75%,31%,90,0:19,77%,96%,2.20%,73%,76%,24%,2%,12%,68%,88%,58%,92%,21%,65%,12%,13%,12%,96%,85%,58%,62%,80%,0%,0%,0%,0%,2.20%,0:19,100,0:48,47,53%,28%,8%,No data available,7.17%,6.05%,0.20%,6.30%,10.22%,7.83%,13.66,20%,24%,14%,8%,12%,60
H0363,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Founders, LLC",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:29,Plan too small to be measured,Plan too small to be measured,2.13%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.13%,0:29,No data available,0:53,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0422,UCare,"UCARE HEALTH, INC.",UCare Minnesota,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:02,Plan too small to be measured,95%,6.98%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,23%,69%,54%,61%,90%,47%,63%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,10%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6.98%,0:02,98,0:48,46,Plan too new to be measured,Plan too new to be measured,12%,No data available,4.99%,5.29%,5.60%,5.92%,10.29%,7.55%,1.86,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,57%,49%,Not enough data available,44%,No data available,0:33,69%,94%,6.25%,65%,97%,52%,17%,17%,51%,60%,43%,82%,25%,52%,13%,12%,13%,89%,86%,23%,69%,81%,0%,0%,0%,0%,3.09%,0:16,100,1:01,96,65%,59%,6%,No data available,9.24%,11.43%,0.00%,10.21%,9.72%,18.54%,CMS Found Issues with Plan's Data,Not Available,Not Available,Not Available,Not Available,Not Available,100
