Medicare Part C Display Measures,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Breast Cancer Screening - C01,Colorectal Cancer Screening - C02,Adult BMI Assessment - C07,Care for Older Adults ñ Medication Review - C09,Care for Older Adults ñ Functional Status Assessment - C10,Care for Older Adults ñ Pain Assessment - C11,Osteoporosis Management in Women who had a Fracture - C12,Diabetes Care ñ Eye Exam - C13,Diabetes Care ñ Kidney Disease Monitoring - C14,Diabetes Care ñ Blood Sugar Controlled - C15,Controlling Blood Pressure - C16,Rheumatoid Arthritis Management - C17,Medication Reconciliation Post-Discharge - C20,Plan All-Cause Readmissions - C21
H2400,Signature Advantage (HMO SNP),"SIGNATURE ADVANTAGE, LLC","SA Plan, LLC",Not enough data available,Not enough data available,Not enough data available,100%,100%,96%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,71%,Not enough data available,0%,0%
H2411,Fallon Health,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0%
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County Health & Human Services,65%,60%,91%,85%,88%,89%,Not enough data available,69%,94%,86%,93%,Not enough data available,79%,15%
H2470,Fallon Health Weinberg,"FALLON HEALTH WEINBERG, INC.",Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,24%
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Not enough data available,66%,71%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,62%,Not enough data available,Not enough data available,15%
H2926,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,79%,72%,94%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,90%,97%,57%,74%,Not enough data available,53%,10%
H3018,Centers Plan for FIDA Care Complete,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,13%
H3129,"North Shore-LIJ Health Plan, Inc.","NORTH SHORE-LIJ HEALTH PLAN, INC.","Northwell Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,7%
H3291,PruittHealth Premier (HMO SNP),"PRUITTHEALTH PREMIER, INC.","UNICO Premier, LLC",Not enough data available,Not enough data available,Not enough data available,82%,99%,99%,Not enough data available,95%,92%,0%,82%,Not enough data available,0%,0%
H3314,HIP Health Plan of Greater New York,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure
H3503,Sanford Heart of America Health Plan,SANFORD HEART OF AMERICA HEALTH PLAN,Sanford,87%,80%,99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan ,Not enough data available,Not enough data available,Not enough data available,87%,Benefit not offered by plan ,Plan not required to report measure,Plan not required to report measure
H3708,Tribute Health Plan of Oklahoma,"OKLAHOMA SUPERIOR SELECT, INC.","Healthcare Investors, LLC",Not enough data available,3%,Not enough data available,75%,81%,81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available,8%
H3794,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",83%,81%,99%,90%,92%,94%,Not enough data available,81%,99%,66%,78%,Not enough data available,74%,16%
H4465,ICS Community Care Plus FIDA MMP,"INDEPENDENCE CARE SYSTEM, INC.","Independence Care System, Inc.",Not enough data available,Not enough data available,Not enough data available,33%,100%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0%
H4490,Missouri Medicare Select (HMO SNP),"MISSOURI MEDICARE SELECT, LLC","MO Select, LLC",Not enough data available,Not enough data available,Not enough data available,84%,100%,100%,Not enough data available,39%,88%,0%,24%,Not enough data available,0%,0%
H4876,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Not enough data available,59%,78%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,68%,96%,34%,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available,15%
H5302,Coventry Health Care,AETNA HEALTH INC. (GA),Aetna Inc.,Not enough data available,62%,98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,79%,96%,84%,81%,Not enough data available,58%,15%
H5386,Sharp Health Plan,SHARP HEALTH PLAN,Sharp Healthcare,89%,78%,97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,76%,98%,98%,83%,Not enough data available,Not enough data available,16%
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Not enough data available,Not enough data available,Not enough data available,16%,13%,19%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,9%,17%
H6050,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure
H6308,AgeWell New York FIDA Plan,"AGEWELL NEW YORK, LLC","ParkerCare New York, LLC",Not enough data available,Not enough data available,Not enough data available,72%,97%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,8%
H6320,Fresenius Health Plans,"FRESENIUS HEALTH PLANS OF NORTH CAROLINA, INC.",Fresenius Medicare Care AG & Co. KGaA,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,5%,0%
H6435,RiverSpring FIDA Plan,"ELDERSERVE HEALTH, INC.",Riverspring Health Holding Corp.,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0%
H6786,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF MAINE, INC.",Anthem Inc.,Not enough data available,83%,93%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,9%
H6951,Trillium Medicare Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Centene Corporation,50%,56%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,69%,Not enough data available,51%,14%
H7173,Allwell,"PEACH STATE HEALTH PLAN, INC.",Centene Corporation,Not enough data available,51%,95%,100%,85%,91%,Not enough data available,61%,98%,57%,59%,Not enough data available,10%,13%
H7971,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",75%,73%,77%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,62%,Not enough data available,23%,16%
H8029,Elderplan FIDA Total Care,"ELDERPLAN, INC.","Elderplan, Inc.",Not enough data available,Not enough data available,Not enough data available,60%,98%,99%,Not enough data available,58%,97%,55%,50%,Not enough data available,21%,19%
H8056,Aetna Better Health FIDA Plan,"AETNA BETTER HEALTH, INC. (NY)",Aetna Inc.,Not enough data available,Not enough data available,Not enough data available,58%,100%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,27%
H8170,America's 1st Choice of South Carolina,"AMERICA'S 1ST CHOICE OF SOUTH CAROLINA, INC.","America∆s 1st Choice of South Carolina, Inc.",Not enough data available,73%,98%,41%,26%,49%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,11%
H8506,"Moda Health Plan, Inc.","MODA HEALTH PLAN, INC.","Moda, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,49%,Not enough data available,Not enough data available,0%
H8851,SWH Whole Health FIDA Plan,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Not enough data available,Not enough data available,Not enough data available,14%,12%,9%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,15%
H9104,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,Not enough data available,Not enough data available,Not enough data available,97%,100%,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,70%,25%
H9115,MetroPlus FIDA,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,Not enough data available,62%,98%,89%,91%,90%,Not enough data available,69%,92%,64%,71%,Not enough data available,55%,16%
H9312,Fresenius Health Plans,FRESENIUS HEALTH PLANS INSURANCE COMPANY,Fresenius Medicare Care AG & Co. KGaA,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,26%,100%,66%,Not enough data available,Not enough data available,4%,0%
H9345,VillageCareMAX Full Advantage FIDA,VILLAGE SENIOR SERVICES CORPORATION,"Village Care of New York, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,22%
H9585,BMC HealthNet Plan Senior Care Options,"BOSTON MEDICAL CENTER HEALTH PLAN, INC.","BMC Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0%
