2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Hospitalization for Potentially Preventable Complications - DMC16,Statin Therapy for Patients with Cardiovascular Disease - DMC17,Asthma Medication Ratio - DMC18,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to Fill prescriptions - DMD13,Reminders to Take Medications - DMD14,Statin Use in Persons with Diabetes (SUPD) - DMD15,High Risk Medication - DMD16,Formulary Administration Analysis - DMD17,Antipsychotic Use in Persons with Dementia - DMD18,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H0104,Blue Advantage (PPO),Blue Cross And Blue Shield Of Alabama,BlueCross BlueShield of Alabama,47%,57%,89%,93%,80%,34%,91,1:02,71%,97%,0.00%,72%,73%,28%,1%,47,77%,70%,84%,100.00%,0.00%,1:02,6%,0.34%,100%,98,0:05,99,No data available,No data available,43%,20%,73%,7%,0.0%,13%,96%,0.44,20%,7%,35%,18%,10%
H0107,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,Health Care Service Corporation,Not enough data available,61%,87%,71%,75%,Not enough data available,92,1:12,78%,94%,0.66%,79%,79%,53%,4%,39,78%,85%,76%,100.00%,0.66%,1:12,4%,0.61%,100%,98,0:05,98,0.0%,0.0%,25%,13%,72%,4%,No data available,10%,91%,2.56,16%,12%,30%,9%,12%
H0111,WellCare,"Wellcare Of Georgia, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0137,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",79%,45%,Not enough data available,90%,Not enough data available,34%,92,0:18,50%,97%,2.50%,79%,91%,43%,13%,No data available,85%,59%,100%,100.00%,2.50%,0:18,6%,0.42%,100%,101,0:08,97,6.7%,0.0%,60%,44%,79%,22%,6.7%,No data available,No data available,1.72,No data available,No data available,No data available,No data available,No data available
H0141,McLaren Advantage (HMO),"Mclaren Health Plan, Inc.",McLaren Health Care Corporation,Not enough data available,Not enough data available,Not enough data available,83%,Plan too small to be measured,Not enough data available,No data available,1:09,No data available,96%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:14,6%,0.00%,100%,101,0:20,98,No data available,6.7%,No data available,No data available,68%,5%,0.0%,No data available,100%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0147,Anthem HealthKeepers,"Healthkeepers, Inc.",Anthem Inc.,68%,37%,73%,88%,56%,Not enough data available,Not enough data available,0:13,58%,91%,0.00%,64%,82%,37%,4%,31,73%,66%,100%,No data available,0.00%,0:13,6%,0.12%,100%,101,0:21,79,No data available,No data available,57%,48%,76%,6%,0.0%,13%,No data available,2.35,No data available,No data available,No data available,No data available,No data available
H0148,Care1st Health Plan,Care1st Health Plan,California Physicians' Service,33%,62%,Not enough data available,89%,54%,23%,89,0:21,55%,81%,0.00%,52%,67%,45%,4%,34,78%,20%,100%,No data available,0.00%,0:21,4%,0.00%,100%,100,0:10,98,0.0%,0.0%,60%,50%,77%,2%,10.0%,9%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0150,Cigna-HealthSpring,"Healthspring Of Alabama, Inc.",CIGNA,39%,51%,88%,96%,71%,37%,93,0:22,67%,96%,1.55%,69%,77%,25%,1%,48,75%,72%,100%,97.06%,1.55%,0:22,7%,0.86%,100%,99,0:16,99,0.0%,0.0%,56%,39%,75%,3%,0.0%,13%,No data available,2.13,30%,34%,19%,18%,16%
H0154,VIVA Medicare,"Viva Health, Inc.",UAB Health System,47%,49%,92%,95%,79%,32%,92,0:57,64%,96%,0.00%,58%,69%,27%,2%,52,76%,59%,100%,No data available,0.00%,0:57,8%,0.15%,100%,102,0:34,98,0.0%,0.0%,58%,45%,74%,4%,3.3%,13%,98%,0.56,18%,23%,29%,15%,15%
H0169,UnitedHealthcare,"Unitedhealthcare Of The Midwest, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0174,"Universal American, A WellCare Company","Today's Options Of Texas, Inc.","WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,95%,No data available,Not enough data available,No data available,0:23,No data available,99%,0.81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,100%,No data available,0.81%,0:23,3%,0.00%,100%,100,0:34,98,No data available,0.0%,No data available,No data available,76%,2%,0.0%,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0192,AmeriHealth Caritas VIP Care Plus,"Amerihealth Michigan, Inc.",AMHP Holdings Corp.,Not enough data available,39%,Not enough data available,85%,No data available,Not enough data available,Not enough data available,0:02,48%,83%,0.00%,64%,93%,37%,4%,No data available,Not enough data available,Not enough data available,100%,100.00%,0.00%,0:02,5%,1.10%,100%,104,0:03,95,0.0%,0.0%,54%,40%,73%,6%,0.0%,7%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0251,UnitedHealthcare,"Unitedhealthcare Plan Of The River Valley, Inc.","UnitedHealth Group, Inc.",65%,54%,95%,95%,63%,29%,90,0:34,57%,96%,0.00%,59%,78%,34%,5%,40,75%,54%,95%,No data available,0.00%,0:34,9%,0.24%,100%,100,0:43,99,0.0%,6.7%,60%,53%,74%,12%,No data available,12%,No data available,0.49,11%,37%,8%,5%,4%
H0281,IlliniCare Health,Illinicare Health Plan,Centene Corporation,64%,Not enough data available,Not enough data available,91%,Not enough data available,Not enough data available,Not enough data available,0:12,48%,85%,0.00%,65%,87%,51%,5%,65,71%,45%,100%,100.00%,0.00%,0:12,5%,0.12%,100%,96,0:07,98,0.0%,13.3%,53%,43%,75%,5%,No data available,14%,No data available,3.74,No data available,No data available,No data available,No data available,No data available
H0294,UnitedHealthcare,Care Improvement Plus Wisconsin Insurance Company,"UnitedHealth Group, Inc.",Not enough data available,60%,94%,93%,75%,36%,91,0:54,77%,96%,0.77%,74%,77%,39%,6%,42,77%,86%,No data available,No data available,0.77%,0:54,4%,0.36%,100%,100,0:43,99,No data available,0.0%,44%,25%,80%,3%,No data available,11%,96%,6.66,11%,9%,36%,7%,9%
H0302,Blue Cross Blue Shield of Arizona Advantage,"Medisun, Inc.","Veritage, LLC",31%,65%,90%,93%,88%,42%,91,0:22,75%,96%,0.80%,76%,87%,34%,2%,28,73%,83%,63%,100.00%,0.80%,0:22,5%,0.87%,100%,99,0:12,98,0.0%,40.0%,31%,17%,74%,7%,0.0%,12%,98%,4.90,19%,39%,14%,9%,12%
H0321,UnitedHealthcare,"Arizona Physicians Ipa, Inc.","UnitedHealth Group, Inc.",81%,47%,89%,93%,72%,28%,87,0:23,61%,96%,0.00%,63%,79%,49%,9%,38,74%,65%,100%,No data available,0.00%,0:23,6%,0.29%,100%,100,0:43,98,0.0%,13.3%,52%,41%,75%,7%,No data available,16%,No data available,0.78,16%,29%,9%,9%,14%
H0332,KelseyCare Advantage,"Ks Plan Administrators, Llc","Kelsey-Seybold Medical Group, PLLC",79%,53%,93%,96%,88%,50%,92,0:05,84%,97%,1.61%,69%,78%,28%,3%,35,79%,86%,67%,No data available,1.61%,0:05,5%,0.21%,100%,96,0:30,98,0.0%,6.7%,44%,29%,82%,5%,3.3%,15%,98%,CMS identified issues with this plan's data,14%,34%,13%,3%,10%
H0336,Humana Gold Plus Integrated,"Humana Health Plan, Inc.",Humana Inc.,35%,71%,Not enough data available,93%,Not enough data available,26%,Not enough data available,0:43,52%,89%,0.00%,68%,86%,30%,5%,49,83%,51%,No data available,No data available,0.00%,0:43,5%,0.30%,100%,100,0:32,99,0.0%,0.0%,55%,41%,79%,4%,0.0%,11%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0351,Allwell,"Health Net Of Arizona, Inc.",Centene Corporation,33%,50%,86%,92%,78%,38%,90,0:23,65%,93%,0.00%,61%,69%,23%,1%,29,73%,80%,100%,100.00%,0.00%,0:23,4%,0.10%,100%,101,0:14,98,0.0%,0.0%,41%,37%,74%,3%,0.0%,11%,99%,5.87,22%,43%,19%,7%,12%
H0354,Cigna,"Cigna Healthcare Of Arizona, Inc.",CIGNA,20%,52%,86%,96%,87%,41%,90,0:17,78%,97%,0.80%,75%,77%,24%,1%,26,71%,85%,64%,95.24%,0.80%,0:17,4%,0.62%,100%,99,0:16,99,0.0%,0.0%,34%,22%,74%,2%,3.3%,13%,No data available,3.02,17%,26%,15%,9%,11%
H0423,MetroPlus Health Plan,"Metroplus Health Plan, Inc.",New York City Health and Hospitals Corporation,61%,49%,91%,95%,63%,50%,Not enough data available,1:13,60%,95%,0.00%,67%,88%,70%,15%,88,85%,61%,100%,No data available,0.00%,1:13,4%,0.06%,100%,100,0:34,99,No data available,0.0%,59%,58%,83%,3%,0.0%,13%,98%,0.55,15%,25%,35%,15%,17%
H0432,UnitedHealthcare,"Unitedhealthcare Of Alabama, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0439,Cigna-HealthSpring,"Cigna Healthcare Of Georgia, Inc.",CIGNA,44%,54%,85%,96%,74%,Not enough data available,91,0:19,64%,97%,1.53%,72%,76%,29%,2%,44,72%,72%,89%,88.89%,1.53%,0:19,5%,0.87%,100%,99,0:16,99,0.0%,0.0%,56%,47%,73%,4%,3.3%,11%,No data available,3.40,26%,24%,27%,17%,15%
H0480,MeridianComplete,"Meridian Health Plan Of Michigan, Inc.","Caidan Enterprises, Inc.",65%,71%,Not enough data available,89%,No data available,45%,93,1:02,49%,92%,0.00%,79%,85%,30%,4%,94,69%,Not enough data available,100%,100.00%,0.00%,1:02,7%,0.46%,96%,100,0:47,45,0.0%,0.0%,57%,51%,74%,9%,No data available,8%,No data available,9.30,No data available,No data available,No data available,No data available,No data available
H0490,Molina Healthcare of Ohio,"Molina Healthcare Of Ohio, Inc.","Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,90%,Plan too small to be measured,Not enough data available,No data available,0:14,No data available,94%,0.00%,Not enough data available,Not enough data available,32%,2%,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:14,6%,1.15%,100%,99,0:34,98,No data available,0.0%,No data available,No data available,71%,6%,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0502,Contra Costa Health Plan,The Contra Costa Health Plan,Contra Costa Health Services,Not enough data available,Benefit not offered by plan,Plan not required to report measure,Benefit not offered by plan,No data available,Not enough data available,No data available,Plan not required to report measure,No data available,94%,Plan not required to report measure,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0504,Blue Shield of California,California Physicians' Service,California Physicians' Service,43%,53%,88%,92%,79%,32%,88,0:18,69%,94%,0.81%,69%,77%,12%,1%,28,75%,89%,100%,100.00%,0.81%,0:18,4%,0.96%,100%,100,0:12,99,6.7%,6.7%,51%,28%,76%,5%,3.3%,10%,98%,CMS identified issues with this plan's data,13%,36%,17%,6%,10%
H0523,Aetna Medicare,Aetna Health Of California Inc.,Aetna Inc.,40%,58%,93%,92%,74%,24%,91,0:21,70%,96%,0.63%,58%,77%,83%,4%,21,66%,81%,100%,No data available,0.63%,0:21,5%,0.96%,100%,101,0:28,97,0.0%,0.0%,50%,30%,75%,4%,0.0%,9%,99%,2.17,16%,33%,22%,14%,13%
H0524,Kaiser Permanente,"Kaiser Foundation Hp, Inc.","Kaiser Foundation Health Plan, Inc.",78%,60%,96%,95%,80%,60%,91,0:32,84%,96%,0.00%,84%,95%,37%,8%,20,87%,92%,97%,No data available,0.00%,0:32,3%,1.01%,100%,102,0:26,98,No data available,No data available,36%,24%,88%,4%,30.0%,17%,95%,4.27,17%,18%,23%,6%,15%
H0543,UnitedHealthcare,Uhc Of California,"UnitedHealth Group, Inc.",42%,52%,88%,93%,75%,29%,92,0:23,80%,95%,0.00%,73%,80%,15%,1%,24,72%,79%,85%,100.00%,0.00%,0:23,4%,0.18%,100%,99,0:43,98,0.0%,6.7%,53%,26%,76%,4%,No data available,12%,97%,4.02,15%,52%,15%,8%,11%
H0544,Anthem Blue Cross,Blue Cross Of California,Anthem Inc.,57%,43%,87%,94%,70%,37%,91,0:32,74%,96%,0.38%,60%,71%,6%,0%,17,73%,59%,45%,50.00%,0.38%,0:32,6%,0.14%,100%,102,0:15,99,No data available,No data available,52%,37%,76%,3%,0.0%,12%,99%,7.25,18%,31%,17%,9%,16%
H0545,Inter Valley Health Plan,"Inter Valley Health Plan, Inc.",InterValley Health Plan,59%,50%,88%,91%,77%,35%,89,0:14,79%,96%,0.00%,59%,66%,11%,0%,14,67%,81%,67%,No data available,0.00%,0:26,5%,0.36%,100%,102,0:16,99,No data available,0.0%,47%,22%,73%,5%,No data available,9%,97%,2.96,15%,20%,24%,15%,8%
H0562,Health Net of California,"Health Net Of California,inc.",Centene Corporation,46%,47%,89%,93%,75%,30%,90,0:33,71%,96%,0.71%,55%,73%,11%,1%,23,74%,77%,100%,95.45%,0.65%,0:32,5%,0.06%,100%,101,0:14,99,0.0%,0.0%,50%,39%,77%,4%,3.3%,11%,99%,3.37,14%,19%,29%,9%,13%
H0564,Anthem Blue Cross,Blue Cross Of California,Anthem Inc.,34%,56%,77%,91%,69%,26%,89,0:31,64%,90%,1.61%,70%,82%,28%,2%,23,77%,86%,100%,No data available,1.61%,0:31,4%,0.16%,100%,100,0:21,98,No data available,No data available,47%,33%,74%,3%,0.0%,11%,96%,2.52,32%,43%,18%,17%,22%
