2020 Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0088,Local CCP,"Wellcare Health Insurance Of New York, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,3,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,5,No data available,No data available,No data available,Not enough data available,No data available
H0104,Local CCP,Blue Cross And Blue Shield Of Alabama,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,4,4,4,4,3,3,5,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,3,5,4,3,1,4,4,2,2,5,2,5,4,5,3,5,5,4,5,4,3,4,5,4,5,5,5,4,4,5,4,3,3,2,2
H0107,Local CCP,Health Care Service Corporation,Blue Cross and Blue Shield of Montana,Health Care Service Corporation,4,4,4,5,5,3,3,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1,4,3,4,3,1,4,2,4,4,4,5,3,3,1,5,4,2,4,1,1,5,5,5,5,4,2,5,1,4,5,5,5,4,5,2
H0111,Local CCP,"Wellcare Of Georgia, Inc.",WellCare,"WellCare Health Plans, Inc.",4,3,2,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,4,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,1,5,3,Not enough data available,Plan too new to be measured,Plan too new to be measured,2,4,Not enough data available,2,2,1,3,2,3,4,2,Not enough data available,Not enough data available,Not enough data available,4,3,5,Not enough data available,4,2,Not enough data available,2,3,5,3,3,2,4,2
H0137,Demo,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0148,Demo,Blue Shield Of California Promise Health Plan,Blue Shield of California Promise Health Plan,California Physicians' Service,No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0154,Local CCP,"Viva Health, Inc.",VIVA Medicare,"Triton Health Systems, L.L.C.",4,5,2,2,3,3,5,4,5,5,5,5,5,5,5,5,3,3,4,4,3,4,3,5,3,5,3,5,4,4,4,5,4,5,5,Not enough data available,5,4,4,5,5,4,4,3,3,4,4
H0169,Local CCP,"Unitedhealthcare Of The Midwest, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,3,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,4,3,4,4,5,Not enough data available,4,5,4,3,Plan too new to be measured,Plan too new to be measured,2,4,Not enough data available,3,4,3,4,5,4,5,4,Not enough data available,5,5,5,5,5,Not enough data available,5,4,Not enough data available,4,4,5,4,3,3,3,3
H0174,Local CCP,"Wellcare Of Texas, Inc.",WellCare,"WellCare Health Plans, Inc.",3,4,Plan too small to be measured,5,5,2,5,2,4,3,4,4,4,5,4,2,4,Not enough data available,2,2,3,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,2,Not enough data available,Not enough data available,Not enough data available,4,3,Not enough data available,Not enough data available,Not enough data available,2,Not enough data available,Plan too small to be measured,Plan too small to be measured,5,4,2,2,4,4
H0192,Demo,"Amerihealth Michigan, Inc.",AmeriHealth Caritas VIP Care Plus,Independence Health Group,No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0251,Local CCP,"Unitedhealthcare Plan Of The River Valley, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,2,5,3,1,5,3,4,4,4,4,4,5,4,2,4,2,2,4,3,5,4,4,4,5,3,5,4,4,4,5,5,5,5,Not enough data available,5,4,5,5,5,5,3,2,3,4,3
H0270,Local CCP,Wellcare Health Insurance Company Of America,WellCare,"WellCare Health Plans, Inc.",Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,4,3,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0271,Local CCP,"Symphonix Health Insurance, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,5,5,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0281,Demo,Illinicare Health Plan,IlliniCare Health,Centene Corporation,No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0292,Local CCP,"Humana Health Plan Of Ohio, Inc.",Humana,Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,5,5,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Local CCP,Care Improvement Plus Wisconsin Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,1,5,4,5,3,5,4,5,3,4,5,5,5,1,3,3,3,4,4,5,3,4,2,5,5,4,3,5,5,5,5,5,Not enough data available,5,4,3,2,2,5,5,5,4,3,4
H0302,Local CCP,"Medisun, Inc.",Blue Cross Blue Shield of Arizona Advantage,Blue Cross Blue Shield of Arizona,3,3,3,2,5,3,3,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,2,2,4,5,3,1,5,3,3,1,1,1,3,2,2,2,5,3,3,4,3,5,5,5,3,5,3,4,1,3,5,4,3,4,1,2
H0321,Local CCP,"Arizona Physicians Ipa, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,2,3,5,3,4,2,4,3,5,3,4,4,4,2,4,3,3,4,2,2,3,3,3,4,2,5,4,5,5,4,5,5,5,Not enough data available,5,4,5,4,4,5,3,2,2,3,3
H0332,Local CCP,"Ks Plan Administrators, Llc",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",5,5,4,5,5,5,5,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,5,5,5,5,3,5,5,2,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,Not enough data available,5,5,4,5,5,3,4,4,4,5,5
H0336,Demo,"Humana Health Plan, Inc.",Humana,Humana Inc.,No data available,No data available,Plan too small to be measured,Not enough data available,Not enough data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0351,Local CCP,"Health Net Of Arizona, Inc.",Allwell,Centene Corporation,3,3,1,2,3,1,4,1,5,5,5,2,4,4,4,2,2,3,2,3,1,2,2,1,1,1,2,4,4,2,4,4,4,5,2,2,4,4,4,1,1,5,3,3,3,5,3
H0354,Local CCP,"Cigna Healthcare Of Arizona, Inc.",Cigna,CIGNA,4,5,4,2,4,3,5,4,5,5,5,5,5,5,4,3,3,3,5,4,1,3,4,4,4,5,3,5,5,3,4,4,5,5,4,4,5,5,5,4,4,5,4,3,3,5,4
H0422,Local CCP,"Ucare Health, Inc.",UCare,UCare Minnesota,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,5,5,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0423,Local CCP,"Metroplus Health Plan, Inc.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,5,5,3,4,3,4,4,2,5,4,5,Not enough data available,5,4,4,5,5,Not enough data available,4,2,4,1,1,2,1,2,2,5,3,4,5,3,4,5,5,Not enough data available,5,3,5,3,4,5,4,2,2,4,5
H0432,Local CCP,"Unitedhealthcare Of Alabama, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,5,2,4,4,5,Not enough data available,4,5,4,2,Plan too new to be measured,Plan too new to be measured,3,4,Not enough data available,3,1,4,2,4,2,5,4,Not enough data available,5,5,5,5,5,Not enough data available,5,4,Not enough data available,4,4,5,3,2,2,4,2
H0439,Local CCP,"Cigna Healthcare Of Georgia, Inc.",Cigna,CIGNA,4,4,2,4,3,3,5,1,4,5,5,5,5,5,5,2,1,2,4,3,2,3,2,3,2,3,4,5,3,3,4,4,5,5,4,5,5,3,5,3,4,4,3,2,2,3,3
H0473,Local CCP,Humana Insurance Company Of Kentucky,Humana,Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,5,5,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0480,Demo,"Meridian Health Plan Of Michigan, Inc.",MeridianComplete,"WellCare Health Plans, Inc.",No data available,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available,No data available
H0504,Local CCP,California Physicians' Service,Blue Shield of California,California Physicians' Service,4,5,3,3,5,4,5,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,3,5,5,5,3,3,4,4,3,3,1,2,3,3,4,2,5,4,4,5,5,5,5,5,5,5,4,5,4,4,5,4,3,3,4,3
H0523,Local CCP,Aetna Health Of California Inc.,Aetna Medicare,CVS Health Corporation,4,4,3,3,4,3,4,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,5,5,5,3,4,2,3,3,2,3,1,3,2,4,1,5,4,3,4,5,5,5,5,Not enough data available,5,4,4,3,3,5,3,3,3,4,4
H0524,Local CCP,"Kaiser Foundation Hp, Inc.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,3,5,3,5,4,4,4,5,5,2,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
H0543,Local CCP,Uhc Of California,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,2,4,4,5,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,5,5,5,3,4,3,4,4,2,2,3,3,4,4,2,5,4,4,5,5,5,5,5,5,5,4,3,4,2,5,4,4,4,3,4
H0544,Local CCP,Blue Cross Of California,Anthem Blue Cross,Anthem Inc.,4,4,4,4,3,4,5,4,5,5,5,4,5,5,4,3,4,4,4,4,3,2,2,3,3,4,1,5,4,2,5,4,5,5,5,4,5,4,1,4,2,5,4,3,3,4,5
