2020 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H1112,WellCare,"Wellcare Of Georgia, Inc.","WellCare Health Plans, Inc.",26%,28%,10%,Not Available,18%
H1119,Valor Health Plan,"Tsg Guard, Inc.","The Schroer Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1142,Bright Health,"Bright Health Insurance Company Of Ohio, Inc.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1170,Kaiser Permanente,"Kaiser Foundation Hp Of Ga, Inc.","Kaiser Foundation Health Plan, Inc.",25%,33%,17%,4%,15%
H1181,Network Health Medicare Advantage Plans,Network Health Insurance Corporation,"Network Health, Inc.",10%,0%,14%,Not Applicable,Not Applicable
H1189,CHRISTUS Health Plan Generations,Christus Health Plan,CHRISTUS Health,36%,44%,20%,8%,24%
H1205,Integra Managed Care,"Integra Mltc, Inc.",Personal Touch Holding Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1225,Johns Hopkins HealthCare,"Hopkins Health Advantage, Inc.",Johns Hopkins Healthcare LLC,24%,18%,20%,Not Available,Not Available
H1230,Kaiser Permanente,"Kaiser Foundation Hp, Inc.","Kaiser Foundation Health Plan, Inc.",14%,12%,48%,5%,11%
H1248,Blue Cross and Blue Shield of Louisiana,Louisiana Health Service & Indemnity Company,Louisiana Health Service & Indemnity Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1277,Align Senior Care,"Align Senior Care, Inc.","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1278,UnitedHealthcare,Harken Health Insurance Company,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1286,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",8%,20%,16%,6%,7%
H1290,Devoted Health,"Devoted Health Plan Of Florida, Inc.","Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1302,Blue Cross of Idaho,"Blue Cross Of Idaho Care Plus, Inc.","Blue Cross of Idaho Health Services, Inc.",Not Available,Not Available,Not Available,Not Applicable,Not Applicable
H1304,Regence BlueShield Of Idaho,Regence Blueshield Of Idaho,"Cambia Health Solutions, Inc.",16%,24%,26%,13%,11%
H1350,Blue Cross of Idaho,"Blue Cross Of Idaho Care Plus, Inc.","Blue Cross of Idaho Health Services, Inc.",14%,11%,26%,11%,8%
H1352,Blue Cross and Blue Shield of Kansas City (Blue KC,"Blue-advantage Plus Of Kansas City, Inc.",Blue Cross and Blue Shield of Kansas City,17%,25%,21%,11%,12%
H1353,Wellcare,"Wellcare Of Washington, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1365,Martin's Point Generations Advantage,"Martin's Point Generations Advantage, Inc.","Martin's Point Health Care, Inc.",6%,7%,30%,7%,4%
H1372,AgeRight Advantage,"Marquis Advantage, Inc.","Marquis Companies I, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1375,UnitedHealthcare,"Unitedhealthcare Community Plan Of California, Inc","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1393,Bright Health,Bright Health Insurance Company Of Tennessee,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1415,Cigna,"Healthspring Life & Health Insurance Company, Inc.",CIGNA,29%,29%,30%,Not Available,15%
H1416,WellCare,"Harmony Health Plan,  Inc.","WellCare Health Plans, Inc.",26%,37%,18%,11%,17%
H1426,Vitality Health Plan of California,"Vitality Health Plan Of California, Inc.","Vitality Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1436,Allwell,"Absolute Total Care, Inc.",Centene Corporation,34%,49%,14%,Not Available,23%
H1463,Health Alliance Medicare,"Health Alliance Connect, Inc.",The Carle Foundation,18%,24%,24%,8%,9%
H1468,Humana,"Humana Benefit Plan Of Illinois, Inc.",Humana Inc.,35%,53%,20%,11%,17%
H1475,Allwell,Illinicare Health Plan,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1537,UnitedHealthcare,Care Improvement Plus South Central Insurance Co,"UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1587,Superior Select Health Plans,"Arkansas Superior Select, Inc.","Select Founders, LLC",26%,23%,18%,Not Available,Not Available
H1607,Anthem Blue Cross and Blue Shield,"Anthem Insurance Companies, Inc.",Anthem Inc.,14%,11%,37%,Not Available,11%
H1608,Aetna Medicare,Coventry Health And Life Insurance Company,CVS Health Corporation,16%,19%,25%,19%,13%
H1609,Aetna Medicare,Aetna Health Inc. (fl),CVS Health Corporation,20%,32%,22%,Not Available,14%
H1610,Aetna Better Health of Virginia,Coventry Health Care Of Virginia,CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H1644,Longevity Health Plan,Longevity Health Plan Of Florida Inc.,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1651,"Medical Associates Health Plan, Inc.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",Not Available,Not Available,Not Available,Not Applicable,Not Applicable
H1659,Piedmont Medicare Advantage,"Piedmont Community Healthcare, Inc.",Piedmont Community Health Plan,5%,9%,30%,10%,7%
H1660,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Health Care Inc.,"Harvard Pilgrim Health Care, Inc.",20%,9%,33%,10%,10%
H1664,Allwell,"Home State Health Plan, Inc.",Centene Corporation,22%,33%,15%,Not Available,Not Available
H1666,Blue Cross and Blue Shield of Texas,Hcsc Insurance Services Company,Health Care Service Corporation,23%,29%,38%,14%,14%
H1692,Aetna Medicare,"Coventry Health Care Of West Virginia, Inc.",CVS Health Corporation,14%,17%,19%,Not Available,13%
H1722,"Health Pointe of New York, LLC","Health Pointe Of New York, Llc","Independent Living Systems, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1723,Absolute Total Care,"Absolute Total Care, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H1737,Health Alliance Medicare,"Health Alliance - Midwest, Inc.",The Carle Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H1777,ArchCare Advantage,"Catholic Special Needs Plan, Llc",Catholic Health Care System,Not Available,Not Available,Not Available,Not Available,Not Available
H1787,Great Plains Medicare Advantage,"Good Samaritan Insurance Plan Of South Dakota, Inc",Sanford Health,Not Available,Not Available,Not Available,Not Available,Not Available
H1846,MediGold,Mount Carmel Health Insurance Company,Trinity Health,Not Available,Not Available,Not Available,Not Available,Not Available
H1889,UnitedHealthcare,"Unitedhealthcare Of Florida, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1894,AMERIGROUP,"Amerigroup Washington, Inc.",Anthem Inc.,28%,37%,17%,7%,17%
H1914,WellCare,Wellcare Health Insurance Of Connecticut,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1924,Lasso Healthcare,"Port Holdings, Inc.","Port Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1944,UnitedHealthcare,"Unitedhealthcare Of New England, Inc.","UnitedHealth Group, Inc.",19%,30%,30%,11%,13%
H1947,Healthy Blue,"Community Care Health Plan Of Louisiana, Inc.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1951,Humana,"Humana Health Benefit Plan Of Louisiana, Inc.",Humana Inc.,20%,23%,31%,9%,12%
H1961,Peoples Health,"Peoples Health, Inc.","UnitedHealth Group, Inc.",21%,32%,11%,17%,14%
H1969,Regence BlueShield of Idaho,Regence Blueshield Of Idaho,"Cambia Health Solutions, Inc.",9%,45%,17%,8%,8%
H1977,Upper Peninsula Health Plan (UPHP) MI Health Link,"Upper Peninsula Health Plan, Llc","DLP Marquette General Hospital, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H1994,SelectHealth,"Selecthealth, Inc.","Intermountain Health Care, Inc.",13%,26%,27%,10%,6%
H1997,Regence BlueShield,Regence Blueshield,"Cambia Health Solutions, Inc.",9%,67%,16%,7%,7%
H2001,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",8%,10%,20%,11%,9%
H2011,Bright Health,Bright Health Insurance Company Of Tennessee,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2020,Clear Spring Health,Delaware Life Insurance Company,Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2029,Humana,"Humana Insurance Of Puerto Rico, Inc.",Humana Inc.,23%,17%,44%,19%,17%
H2032,Scott and White Health Plan,Insurance Company Of Scott And White,Baylor Scott & White Holdings,6%,14%,29%,4%,6%
H2034,Community Care,"Community Care Health Plan, Inc.","Community Care, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2056,Aetna Medicare,Aetna Better Health Of Michigan Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,Cigna,"Bravo Health Mid-atlantic, Inc.",CIGNA,34%,38%,36%,Not Available,18%
H2120,BlueEssential,"Securitycare Of Tennessee, Inc.",BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2134,Allwell,"Western Sky Community Care, Inc.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2150,Kaiser Permanente,Kaiser Fndn Hp Of The Mid-atlantic Sts,"Kaiser Foundation Health Plan, Inc.",21%,37%,27%,3%,14%
H2161,Upper Peninsula Health Plan,"Upper Peninsula Health Plan, Llc","DLP Marquette General Hospital, LLC",9%,27%,27%,Not Available,5%
H2162,WellCare,"Wellcare Of New Hampshire, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2168,VillageCareMAX,Village Senior Services Corporation,"Village Care of New York, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2171,Care N' Care Insurance Company,"Care N' Care Insurance Company, Inc.",Texas Health Resources,19%,34%,11%,5%,14%
H2172,Kaiser Permanente,Kaiser Fdtn Hlth Plan Of The Mid-atlantic States,"Kaiser Foundation Health Plan, Inc.",16%,31%,15%,5%,13%
H2174,Trillium Medicare Advantage,Trillium Community Health Plan,Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H2185,LifeWorks Advantage,"Lifeworks Advantage, Llc","MFA Lifeworks, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H2224,Senior Whole Health,"Senior Whole Health, Llc","Magellan Health, Inc.",24%,33%,4%,Not Available,20%
H2225,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2226,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",18%,48%,9%,Not Available,16%
H2228,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",10%,15%,29%,10%,9%
H2230,Blue Cross Blue Shield of Massachusetts,"Bcbs  Of Massachusetts Hmo Blue, Inc.","Blue Cross and Blue Shield of Massachusetts, Inc.",9%,4%,36%,5%,3%
H2235,BayCare Health Plans,"Baycare Select Health Plans, Inc.","BayCare Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2237,iCare,"Independent Care Health Plan, Inc.",Independent Care Health Plan Inc.,17%,26%,7%,Not Available,12%
H2241,Golden State,Golden State Medicare Health Plan,Golden State Medicare Health Plan,13%,54%,10%,Not Available,11%
H2247,UnitedHealthcare,"Unitedhealthcare Community Plan, Inc.","UnitedHealth Group, Inc.",40%,58%,14%,Not Available,27%
H2256,Tufts Health Plan,Tufts Associated Health Maintenance Organization,"Tufts Health Plan, Inc",16%,41%,20%,5%,9%
H2261,Blue Cross Blue Shield of Massachusetts,"Bcbs  Of Massachusetts Hmo Blue, Inc.","Blue Cross and Blue Shield of Massachusetts, Inc.",16%,22%,28%,8%,5%
H2288,Bright Health,Bright Health Insurance Company Of New York,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2292,UnitedHealthcare,"Oxford Health Insurance, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2320,Priority Health Medicare,Priority Health,Spectrum Health System,19%,11%,25%,10%,10%
H2322,HAP Senior Plus (PPO),Alliance Health And Life Insurance Company,Henry Ford Health System,17%,14%,35%,Not Available,10%
H2334,Clear Spring Health,"Eon Health, Inc. (sc)",Delaware Life Insurance Company,Not Available,Not Available,Not Available,Not Available,Not Available
H2354,HAP Senior Plus,Health Alliance Plan Of Michigan,Henry Ford Health System,18%,20%,30%,6%,11%
H2392,Kansas Health Advantage,"Kansas Superior Select, Inc.",Kansas Superior Select,Not Available,Not Available,Not Available,Not Available,Not Available
H2400,Signature Advantage (HMO SNP),"Signature Advantage, Llc","SA Plan, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H2406,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",13%,28%,22%,8%,11%
H2416,PrimeWest Health,Primewest Rural Mn Health Care Access Initiative,PrimeWest Rural MN Health Care Access Initiative,Not Available,Not Available,Not Available,Not Available,Not Available
H2417,Itasca Medical Care/IMCare Classic,Itasca Medical Care,Itasca County,Not Available,Not Available,Not Available,Not Available,Not Available
H2419,South Country Health Alliance,South Country Health Alliance,South Country Health Alliance,Not Available,Not Available,Not Available,Not Available,Not Available
H2422,HealthPartners,"Healthpartners, Inc.","HealthPartners, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2425,Blue Plus,Blue Plus,"Aware Integrated, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2446,Blue Cross and Blue Shield of Minnesota,Blue Cross And Blue Shield Of Minnesota,"Aware Integrated, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2450,Medica,Medica Insurance Company,Medica Holding Company,6%,3%,31%,9%,3%
H2456,UCare's MSHO,Ucare Minnesota,UCare Minnesota,22%,16%,9%,Not Available,16%
H2458,Medica,Medica Health Plans,Medica Holding Company,Not Available,Not Available,Not Available,Not Available,Not Available
H2459,UCare,Ucare Minnesota,UCare Minnesota,10%,6%,34%,5%,6%
H2461,Blue Cross and Blue Shield of Minnesota,Blue Cross And Blue Shield Of Minnesota,"Aware Integrated, Inc.",7%,1%,42%,Not Available,5%
H2462,HealthPartners,"Group Health Plan, Inc. (mn)","HealthPartners, Inc.",4%,20%,35%,Not Available,4%
H2463,Humana,"Humana Health Plan Of Texas, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2486,Humana,"Humana Medical Plan Of Utah, Inc.",Humana Inc.,22%,28%,11%,6%,9%
H2491,WellCare,"Wellcare Health Insurance Of Arizona, Inc.","WellCare Health Plans, Inc.",21%,17%,11%,17%,17%
H2506,Aetna Better Health Premier Plan,"Aetna Better Health, Inc. (il)",CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H2531,UnitedHealthcare Community Plan,"Unitedhealthcare Community Plan Of Ohio, Inc.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2533,Molina Healthcare of South Carolina,"Molina Healthcare Of South Carolina, Inc.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H2563,Optima Medicare,Optima Health Plan,Sentara Health Care (SHC),17%,23%,31%,Not Available,9%
H2577,UnitedHealthcare,Care Improvement Plus Of Texas Insurance Company,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2582,UnitedHealthcare,Rocky Mountain Health Maintenance Organization,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2591,Health Alliance Medicare,"Health Alliance - Midwest, Inc.",The Carle Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H2593,Amerigroup,"Amerigroup Texas, Inc.",Anthem Inc.,25%,27%,17%,9%,18%
H2610,Essence Healthcare,"Essence Healthcare, Inc.",Essence Group Holdings Corporation,19%,27%,13%,6%,7%
