2022 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H0969 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0978 ,SCAN Health Plan ,"SCAN HEALTH PLAN NEVADA, INC. ",SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0982 ,Solis Health Plans ,"SOLIS HEALTH PLANS, INC. ","Athena Healthcare Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1016 ,AvMed Medicare ,"AVMED, INC. ","AvMed, Inc. ",12%,25%,19%,12%,10%
H1019 ,"CarePlus Health Plans, Inc. ","CAREPLUS HEALTH PLANS, INC. ",Humana Inc. ,23%,29%,17%,8%,14%
H1032 ,Wellcare ,"WELLCARE OF FLORIDA, INC. ",Centene Corporation ,26%,30%,15%,9%,18%
H1035 ,Florida Blue HMO ,"FLORIDA BLUE MEDICARE, INC. ",Guidewell Mutual Holding Corporation ,17%,37%,19%,7%,11%
H1036 ,Humana ,"HUMANA MEDICAL PLAN, INC. ",Humana Inc. ,18%,23%,16%,9%,13%
H1045 ,UnitedHealthcare ,"PREFERRED CARE PARTNERS, INC. ","UnitedHealth Group, Inc. ",12%,31%,22%,9%,12%
H1099 ,"Health First Health Plans, Inc. ",HEALTH FIRST HEALTH PLANS ,"Health First Shared Services, Inc. ",14%,19%,20%,7%,7%
H1109 ,Aetna Medicare ,AETNA HEALTH INC.(GA) ,CVS Health Corporation ,9%,7%,29%,17%,11%
H1111 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF GEORGIA, INC. ","UnitedHealth Group, Inc. ",18%,23%,25%,Not Available ,10%
H1112 ,Wellcare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,21%,21%,16%,7%,12%
H1119 ,Valor Health Plan ,"TSG GUARD, INC. ","The Schroer Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1170 ,Kaiser Permanente ,"KAISER FOUNDATION HP OF GA, INC. ","Kaiser Foundation Health Plan, Inc. ",28%,32%,21%,Not Available ,20%
H1181 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1189 ,CHRISTUS Health Plan Generations ,CHRISTUS HEALTH PLAN ,CHRISTUS Health ,34%,30%,21%,Not Available ,26%
H1205 ,Integra Managed Care ,"INTEGRA MLTC, INC ",Personal Touch Holding Corp. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1215 ,Wellcare ,"NEBRASKA TOTAL CARE, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1225 ,Johns Hopkins HealthCare ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins Healthcare LLC ,26%,28%,39%,Not Available ,18%
H1230 ,Kaiser Permanente ,"KAISER FOUNDATION HP, INC. ","Kaiser Foundation Health Plan, Inc. ",12%,16%,50%,5%,8%
H1248 ,Blue Cross and Blue Shield of Louisiana ,LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY ,Louisiana Health Service & Indemnity Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1277 ,Align Senior Care ,"ALIGN SENIOR CARE, INC. ","Innovative Long Term Care Management, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1278 ,UnitedHealthcare ,HARKEN HEALTH INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",15%,23%,19%,Not Available ,10%
H1280 ,eternalHealth ,"ETERNALHEALTH,INC. ","Eternal Health of Delaware, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1290 ,Devoted Health ,"DEVOTED HEALTH PLAN OF FLORIDA, INC. ","Devoted Health, Inc. ",19%,31%,18%,17%,18%
H1302 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ","Blue Cross of Idaho Health Services, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1304 ,Regence BlueShield Of Idaho ,REGENCE BLUESHIELD OF IDAHO ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1350 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ","Blue Cross of Idaho Health Services, Inc. ",8%,9%,31%,9%,9%
H1352 ,Blue Medicare Advantage ,"BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC. ",Blue Cross and Blue Shield of Kansas City ,11%,16%,34%,11%,10%
H1353 ,Wellcare ,"WELLCARE OF WASHINGTON, INC. ",Centene Corporation ,31%,36%,13%,Not Available ,28%
H1360 ,UnitedHealthcare ,"HEALTH PLAN OF NEVADA, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1365 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",6%,2%,36%,4%,4%
H1372 ,AgeRight Advantage ,"MARQUIS ADVANTAGE, INC. ","Marquis Companies I, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1375 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN OF CALIFORNIA, INC ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1395 ,Wellcare ,"NEBRASKA TOTAL CARE, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1415 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,22%,39%,16%,Not Available ,19%
H1416 ,Wellcare ,"HARMONY HEALTH PLAN,  INC. ",Centene Corporation ,21%,42%,10%,6%,12%
H1423 ,Amerigroup ,"AMERIGROUP OHIO, INC. ",Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1426 ,Vitality Health Plan of California ,"VITALITY HEALTH PLAN OF CALIFORNIA, INC. ","Vitality Health Plans, Inc. ",20%,35%,12%,Not Available ,14%
H1436 ,Wellcare by Allwell ,"ABSOLUTE TOTAL CARE, INC. ",Centene Corporation ,22%,32%,13%,Not Available ,14%
H1463 ,Health Alliance Medicare ,"HEALTH ALLIANCE CONNECT, INC. ",The Carle Foundation ,16%,20%,33%,Not Available ,12%
H1468 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,26%,38%,17%,Not Available ,15%
H1537 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1587 ,Tribute Health Plans ,"ARKANSAS SUPERIOR SELECT, INC. ","Select Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1607 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Inc. ,14%,10%,39%,11%,11%
H1608 ,Aetna Medicare ,COVENTRY HEALTH AND LIFE INSURANCE COMPANY ,CVS Health Corporation ,16%,15%,20%,11%,12%
H1609 ,Aetna Medicare ,AETNA HEALTH INC. (FL) ,CVS Health Corporation ,22%,26%,18%,Not Available ,14%
H1610 ,Aetna Better Health of Virginia ,"COVENTRY HEALTH CARE OF VIRGINIA, INC. ",CVS Health Corporation ,21%,25%,10%,Not Available ,21%
H1644 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF FLORIDA, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1651 ,"Medical Associates Health Plan, Inc. ","MEDICAL ASSOCIATES HEALTH PLAN, INC. ","Medical Associates Clinic, P.C. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1659 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE CO. OF THE RIVER VALLEY ,"UnitedHealth Group, Inc. ",12%,19%,15%,7%,7%
H1664 ,Wellcare by Allwell ,"HOME STATE HEALTH PLAN, INC. ",Centene Corporation ,20%,33%,16%,Not Available ,18%
H1666 ,Blue Cross and Blue Shield of Texas ,HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,23%,26%,39%,15%,17%
H1692 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC. ",CVS Health Corporation ,11%,12%,24%,Not Available ,11%
H1722 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1732 ,Empire BlueCross BlueShield ,"HEALTHPLUS HP, LLC ",Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1737 ,Health Alliance Medicare ,"HEALTH ALLIANCE - MIDWEST, INC. ",The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1748 ,"Sonder Health Plan, Inc. ","SONDER HEALTH PLANS, INC. ","Avian Health Holdings, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1774 ,Ascension Complete ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1777 ,ArchCare Advantage ,"CATHOLIC SPECIAL NEEDS PLAN, LLC ",Catholic Health Care System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1787 ,Great Plains Medicare Advantage ,"GOOD SAMARITAN INSURANCE PLAN OF SOUTH DAKOTA, INC ",Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1799 ,Passport Advantage ,"MOLINA HEALTHCARE OF KENTUCKY, INC. ","Molina Healthcare, Inc., ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1821 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF OREGON, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1822 ,SCAN Desert Health Plan ,"SCAN DESERT HEALTH PLAN, INC. ",SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1846 ,MediGold ,MOUNT CARMEL HEALTH INSURANCE COMPANY ,Trinity Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1848 ,Wellcare ,"WELLCARE OF ALABAMA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1862 ,Wellcare ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1889 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF FLORIDA, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1894 ,AMERIGROUP ,"AMERIGROUP WASHINGTON, INC. ",Anthem Inc. ,35%,48%,17%,17%,25%
H1914 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC. ",Centene Corporation ,32%,36%,20%,Not Available ,35%
H1924 ,Lasso Healthcare ,"PORT HOLDINGS, INC. ","Port Holdings, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1944 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ","UnitedHealth Group, Inc. ",16%,19%,27%,11%,13%
H1947 ,Healthy Blue ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ",Anthem Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1951 ,Humana ,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC. ",Humana Inc. ,26%,29%,36%,Not Available ,16%
H1961 ,Peoples Health ,"PEOPLES HEALTH, INC. ","UnitedHealth Group, Inc. ",18%,29%,16%,Not Available ,11%
H1969 ,Regence BlueShield of Idaho ,REGENCE BLUESHIELD OF IDAHO ,"Cambia Health Solutions, Inc. ",16%,25%,25%,9%,9%
H1993 ,Astiva Health ,"ASTIVA HEALTH, INC. ","Astiva Group, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1994 ,SelectHealth ,"SELECTHEALTH, INC. ","Intermountain Health Care, Inc. ",8%,22%,20%,4%,5%
H1997 ,Regence BlueShield ,REGENCE BLUESHIELD ,"Cambia Health Solutions, Inc. ",17%,27%,24%,9%,11%
H2001 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",7%,8%,27%,9%,8%
H2020 ,Clear Spring Health ,DELAWARE LIFE INSURANCE COMPANY ,Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2029 ,Humana ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2032 ,Baylor Scott & White Health Plan ,Baylor Scott & White Insurance Company ,Baylor Scott & White Holdings ,11%,17%,32%,10%,9%
H2034 ,Community Care ,"COMMUNITY CARE HEALTH PLAN, INC. ","Community Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2056 ,Aetna Medicare ,AETNA BETTER HEALTH OF MICHIGAN INC. ,CVS Health Corporation ,15%,27%,26%,Not Available ,12%
H2108 ,Cigna ,"BRAVO HEALTH MID-ATLANTIC, INC. ",CIGNA ,27%,45%,27%,Not Available ,17%
H2117 ,Wellcare ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2128 ,Wellcare ,CELTIC INSURANCE COMPANY ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2134 ,Wellcare by Allwell ,"WESTERN SKY COMMUNITY CARE, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2161 ,Upper Peninsula Health Plan ,"UPPER PENINSULA HEALTH PLAN, LLC ","DLP Marquette General Hospital, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2162 ,Wellcare ,"WELLCARE OF NEW HAMPSHIRE, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2168 ,VillageCareMAX ,VILLAGE SENIOR SERVICES CORPORATION ,"Village Care of New York, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2171 ,Care N' Care Insurance Company ,"CARE N' CARE INSURANCE COMPANY, INC. ",Texas Health Resources ,25%,37%,11%,10%,19%
H2172 ,Kaiser Permanente ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,"Kaiser Foundation Health Plan, Inc. ",23%,39%,19%,8%,15%
H2174 ,Wellcare by Trillium ,TRILLIUM COMMUNITY HEALTH PLAN ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2185 ,LifeWorks Advantage ,"LIFEWORKS ADVANTAGE, LLC ","MFA Lifeworks, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2196 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF MISSISSIPPI, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2224 ,Senior Whole Health ,"SENIOR WHOLE HEALTH, LLC ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2225 ,"Commonwealth Care Alliance, Inc. ","COMMONWEALTH CARE ALLIANCE, INC. ","Commonwealth Care Alliance, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2226 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2228 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",12%,16%,19%,7%,7%
H2230 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",4%,8%,29%,7%,5%
H2235 ,BayCare Health Plans ,"BAYCARE SELECT HEALTH PLANS, INC. ","BayCare Health System, Inc. ",27%,38%,21%,Not Available ,18%
H2237 ,iCare ,"INDEPENDENT CARE HEALTH PLAN, INC. ",Humana Inc. ,17%,22%,15%,Not Available ,17%
H2241 ,Golden State ,GOLDEN STATE MEDICARE HEALTH PLAN ,MacArthur Court Acquisition Corp ,10%,19%,16%,Not Available ,15%
