2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0104,Blue Cross and Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,45%,61%,86%,84%,35%,91,00:12,73%,97%,1.56%,73%,78%,30%,3%,47,72%,51%,69%,12%,89%,0%,43%,10%,95,97%,100.00%,1.56%,00:12,4%,100%,100,00:10,91,47%,21%,11%,9%,25%,0.02%,94,18.87%,5.31%,0.41%,5.77%,5.98%,2.52,14%,10%,26%,11%,9%,100
H0107,Blue Cross and Blue Shield of Montana,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Not enough data available,63%,95%,80%,39%,93,00:27,79%,96%,4.64%,79%,79%,53%,7%,33,66%,60%,44%,CMS Found Issues with Plan's Data,85%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,7%,100,100%,No data available,4.64%,00:27,3%,100%,100,00:14,92,34%,15%,11%,9%,24%,0.00%,94,14.85%,7.59%,0.31%,5.15%,4.60%,5.62,20%,16%,42%,10%,11%,100
H0111,WellCare,"WELLCARE OF GEORGIA, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,71%,Not enough data available,Not enough data available,00:15,64%,96%,1.09%,73%,86%,31%,2%,67,61%,54%,53%,4%,77%,1%,34%,6%,No data available,100%,100.00%,1.09%,00:15,4%,100%,100,00:30,95,58%,39%,13%,14%,No data available,0.00%,95,16.05%,8.19%,0.97%,8.14%,5.03%,10.65,21%,22%,25%,8%,16%,100
H0137,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",72%,51%,93%,Not enough data available,30%,Not enough data available,00:17,49%,98%,1.60%,74%,89%,42%,12%,No data available,72%,67%,43%,64%,85%,35%,57%,5%,86,97%,100.00%,1.60%,00:17,Plan not required to report measure,100%,Plan not required to report measure,00:02,Plan not required to report measure,63%,46%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.05,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0148,Blue Shield of California Promise Health Plan,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,California Physicians' Service,19%,60%,Not enough data available,60%,20%,91,00:04,62%,80%,0.78%,54%,74%,71%,6%,39,66%,41%,32%,1%,68%,0%,25%,9%,88,100%,100.00%,0.78%,00:04,Plan not required to report measure,100%,Plan not required to report measure,00:06,Plan not required to report measure,58%,50%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.23,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0154,VIVA Medicare,"VIVA HEALTH, INC.","Triton Health Systems, L.L.C.",45%,53%,87%,80%,34%,91,00:20,66%,97%,0.78%,53%,67%,35%,3%,45,69%,49%,75%,47%,85%,36%,61%,6%,94,100%,No data available,0.78%,00:20,5%,100%,98,00:20,84,61%,43%,12%,11%,21%,0.03%,84,22.78%,3.43%,0.73%,9.99%,8.82%,2.14,13%,22%,16%,Not Available,11%,100
H0169,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",57%,78%,Not enough data available,60%,Not enough data available,90,00:33,66%,98%,1.76%,76%,84%,41%,5%,No data available,77%,64%,53%,5%,80%,0%,35%,6%,No data available,100%,100.00%,1.76%,00:33,5%,100%,100,00:35,88,58%,45%,11%,9%,14%,0.15%,91,25.19%,7.88%,1.39%,15.11%,13.63%,1.02,14%,22%,7%,7%,8%,100
H0174,WellCare,"WELLCARE OF TEXAS, INC.",Centene Corporation,39%,45%,76%,62%,37%,No data available,00:19,No data available,92%,2.13%,68%,75%,30%,4%,52,58%,46%,49%,2%,74%,0%,31%,9%,94,100%,No data available,2.13%,00:19,2%,100%,100,00:30,96,No data available,No data available,9%,8%,8%,0.00%,94,14.04%,1.61%,0.86%,8.17%,5.00%,4.99,28%,37%,13%,Not Available,24%,100
H0192,AmeriHealth Caritas VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Health Group,35%,44%,Not enough data available,51%,26%,Not enough data available,00:13,50%,86%,3.91%,59%,80%,43%,5%,51,52%,49%,12%,4%,47%,3%,16%,8%,89,100%,No data available,3.91%,00:13,Plan not required to report measure,100%,Plan not required to report measure,00:05,Plan not required to report measure,59%,43%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.42,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0251,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",48%,50%,93%,62%,31%,92,00:53,55%,96%,0.63%,69%,82%,36%,5%,47,72%,51%,45%,4%,80%,0%,32%,7%,91,93%,100.00%,0.63%,00:53,5%,100%,100,00:35,89,62%,55%,12%,11%,13%,0.06%,90,22.47%,8.49%,0.90%,15.97%,11.70%,1.43,6%,36%,5%,3%,6%,100
H0270,WellCare,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:18,Plan too new to be measured,Plan too new to be measured,3.26%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,No data available,3.26%,00:18,No data available,100%,94,00:30,96,No data available,No data available,No data available,No data available,No data available,No data available,95,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0271,UnitedHealthcare,"SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:51,Plan too new to be measured,Plan too new to be measured,1.16%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,93%,No data available,1.16%,00:51,4%,100%,100,00:35,88,No data available,No data available,9%,8%,15%,0.09%,89,20.30%,11.63%,0.77%,12.98%,8.64%,5.50,15%,17%,19%,Not Available,12%,100
H0281,IlliniCare Health,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.",Centene Corporation,45%,47%,Not enough data available,37%,21%,Not enough data available,00:10,48%,85%,2.36%,71%,85%,49%,11%,85,51%,48%,26%,5%,55%,3%,22%,8%,94,50%,No data available,2.36%,00:10,Plan not required to report measure,No data available,Plan not required to report measure,00:49,Plan not required to report measure,59%,46%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.16,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0292,Humana,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,1.69%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,No data available,1.69%,00:20,2%,100%,100,00:12,88,No data available,No data available,10%,5%,No data available,0.00%,93,21.84%,7.32%,0.17%,9.57%,5.91%,2.29,25%,29%,18%,Not Available,15%,100
H0294,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",55%,69%,91%,81%,34%,93,00:38,81%,97%,2.72%,84%,81%,39%,5%,42,77%,57%,56%,30%,88%,8%,45%,8%,95,75%,No data available,2.72%,00:38,3%,100%,100,00:35,86,57%,27%,10%,9%,14%,0.00%,90,13.88%,7.17%,0.62%,9.00%,4.57%,4.19,18%,12%,40%,10%,11%,100
H0302,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona,39%,66%,88%,86%,45%,Not enough data available,00:31,80%,96%,0.78%,77%,80%,30%,2%,28,62%,66%,59%,16%,84%,17%,44%,8%,98,100%,100.00%,0.78%,00:31,3%,100%,100,00:06,76,38%,24%,9%,9%,No data available,0.03%,99,11.89%,9.92%,0.12%,5.49%,3.74%,7.69,18%,22%,29%,10%,10%,80
H0321,UnitedHealthcare,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",60%,48%,80%,73%,33%,91,00:31,61%,96%,1.39%,70%,86%,36%,6%,46,73%,61%,60%,5%,83%,0%,37%,7%,90,100%,No data available,1.39%,00:31,4%,100%,100,00:35,88,58%,46%,13%,13%,12%,0.06%,90,11.22%,16.20%,0.89%,12.52%,7.60%,1.87,8%,17%,7%,4%,6%,100
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",46%,55%,86%,89%,52%,94,00:06,85%,98%,0.00%,73%,73%,20%,1%,44,95%,64%,90%,52%,90%,46%,70%,9%,97,67%,No data available,0.00%,00:06,3%,100%,101,00:27,76,50%,21%,11%,10%,11%,0.03%,79,14.03%,1.70%,0.42%,3.66%,3.92%,1.74,17%,26%,22%,8%,15%,100
H0336,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,39%,78%,Not enough data available,57%,24%,Not enough data available,00:09,56%,91%,2.34%,74%,86%,54%,7%,60,76%,51%,35%,1%,75%,1%,28%,6%,89,100%,100.00%,2.34%,00:09,Plan not required to report measure,100%,Plan not required to report measure,00:12,Plan not required to report measure,64%,49%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.03,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0342,CarePartners of Connecticut,"CAREPARTNERS OF CONNECTICUT, INC.","Tufts Health Plan, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,Allwell,"HEALTH NET OF ARIZONA, INC.",Centene Corporation,53%,51%,84%,78%,39%,Not enough data available,00:09,64%,93%,1.56%,73%,77%,26%,2%,38,73%,61%,56%,7%,87%,0%,37%,8%,93,63%,100.00%,1.56%,00:09,3%,100%,102,00:47,89,43%,25%,10%,11%,No data available,0.00%,94,11.17%,10.20%,0.33%,4.72%,4.67%,10.50,18%,17%,39%,14%,17%,100
H0354,Cigna,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,56%,54%,88%,89%,40%,91,00:20,83%,97%,0.00%,75%,77%,20%,2%,35,84%,70%,74%,36%,90%,9%,52%,7%,94,100%,100.00%,0.00%,00:20,3%,100%,96,00:10,89,45%,28%,10%,11%,5%,0.06%,67,10.42%,6.92%,0.39%,5.28%,4.07%,6.32,17%,35%,15%,7%,11%,100
H0363,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
