2021 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H0982,Solis Health Plans,"SOLIS HEALTH PLANS, INC.","Athena Healthcare Holdings, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H1016,AvMed Medicare,"AVMED, INC.","AvMed, Inc.",19%,22%,22%,14%,9%
H1019,"CarePlus Health Plans, Inc.","CAREPLUS HEALTH PLANS, INC.",Humana Inc.,16%,34%,11%,9%,13%
H1032,WellCare,"WELLCARE OF FLORIDA, INC.",Centene Corporation,22%,21%,9%,Not Available,18%
H1035,Florida Blue HMO,"FLORIDA BLUE MEDICARE, INC.",Guidewell Mutual Holding Corporation,19%,38%,17%,9%,12%
H1036,Humana,"HUMANA MEDICAL PLAN, INC.",Humana Inc.,16%,23%,15%,12%,16%
H1045,UnitedHealthcare,"PREFERRED CARE PARTNERS, INC.","UnitedHealth Group, Inc.",16%,31%,21%,8%,12%
H1099,"Health First Health Plans, Inc.",HEALTH FIRST HEALTH PLANS,"Health First, Inc.",19%,33%,21%,12%,11%
H1100,Innovation Health Medicare,INNOVATION HEALTH INSURANCE COMPANY,"Innovation Health Holdings, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H1109,Aetna Medicare,AETNA HEALTH INC.(GA),CVS Health Corporation,17%,16%,28%,16%,14%
H1111,UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1112,WellCare,"WELLCARE OF GEORGIA, INC.",Centene Corporation,19%,30%,7%,7%,15%
H1119,Valor Health Plan,"TSG GUARD, INC.","The Schroer Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1142,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF OHIO, INC.","Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1170,Kaiser Permanente,"KAISER FOUNDATION HP OF GA, INC.","Kaiser Foundation Health Plan, Inc.",22%,43%,16%,7%,16%
H1181,Network Health Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,"Network Health, Inc.",8%,4%,16%,Not Available,Not Available
H1189,CHRISTUS Health Plan Generations,CHRISTUS HEALTH PLAN,CHRISTUS Health,38%,46%,14%,Not Available,26%
H1205,Integra Managed Care,"INTEGRA MLTC, INC",Personal Touch Holding Corp.,Not Available,Not Available,Not Available,Not Available,Not Available
H1225,Johns Hopkins HealthCare,"HOPKINS HEALTH ADVANTAGE, INC.",Johns Hopkins Healthcare LLC,31%,38%,18%,Not Available,18%
H1230,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",12%,19%,40%,5%,10%
H1248,Blue Cross and Blue Shield of Louisiana,LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY,Louisiana Health Service & Indemnity Company,Not Available,Not Available,Not Available,Not Available,Not Available
H1277,Align Senior Care,"ALIGN SENIOR CARE, INC.","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1278,UnitedHealthcare,HARKEN HEALTH INSURANCE COMPANY,"UnitedHealth Group, Inc.",14%,29%,19%,Not Available,8%
H1290,Devoted Health,"DEVOTED HEALTH PLAN OF FLORIDA, INC.","Devoted Health, Inc.",27%,39%,14%,18%,21%
H1302,Blue Cross of Idaho,"BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho Health Services, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1304,Regence BlueShield Of Idaho,REGENCE BLUESHIELD OF IDAHO,"Cambia Health Solutions, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1350,Blue Cross of Idaho,"BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho Health Services, Inc.",9%,7%,33%,13%,10%
H1352,Blue Medicare Advantage,"BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC.",Blue Cross and Blue Shield of Kansas City,12%,8%,30%,12%,11%
H1353,WellCare,"WELLCARE OF WASHINGTON, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1360,UnitedHealthcare,"HEALTH PLAN OF NEVADA, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1365,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Health Care, Inc.",6%,6%,35%,3%,4%
H1372,AgeRight Advantage,"MARQUIS ADVANTAGE, INC.","Marquis Companies I, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1375,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN OF CALIFORNIA, INC","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1393,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF TENNESSEE,"Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1415,Cigna,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,32%,46%,26%,Not Available,18%
H1416,WellCare,"HARMONY HEALTH PLAN,  INC.",Centene Corporation,21%,40%,12%,11%,13%
H1423,Amerigroup Ohio,"AMERIGROUP OHIO, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1426,Vitality Health Plan of California,"VITALITY HEALTH PLAN OF CALIFORNIA, INC.","Vitality Health Plans, Inc.",18%,31%,19%,19%,17%
H1436,Allwell,"ABSOLUTE TOTAL CARE, INC.",Centene Corporation,27%,42%,19%,16%,18%
H1463,Health Alliance Medicare,"HEALTH ALLIANCE CONNECT, INC.",The Carle Foundation,26%,29%,30%,10%,11%
H1468,Humana,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,23%,35%,15%,Not Available,20%
H1537,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,"UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1587,Tribute Health Plans,"ARKANSAS SUPERIOR SELECT, INC.","Select Founders, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H1607,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,11%,7%,41%,9%,10%
H1608,Aetna Medicare,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,CVS Health Corporation,18%,18%,25%,15%,12%
H1609,Aetna Medicare,AETNA HEALTH INC. (FL),CVS Health Corporation,15%,31%,19%,Not Available,12%
H1610,Aetna Better Health of Virginia,"COVENTRY HEALTH CARE OF VIRGINIA, INC.",CVS Health Corporation,39%,43%,6%,20%,24%
H1644,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF FLORIDA, INC.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1651,"Medical Associates Health Plan, Inc.","MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Clinic, P.C.",10%,20%,36%,Not Available,Not Available
H1659,Piedmont Medicare Advantage,UNITEDHEALTHCARE INSURANCE CO OF THE RIVER VALLEY,"UnitedHealth Group, Inc.",11%,10%,25%,9%,7%
H1660,"Harvard Pilgrim Health Care, Inc.",HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",19%,22%,30%,12%,11%
H1664,Allwell,"HOME STATE HEALTH PLAN, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H1666,Blue Cross and Blue Shield of Texas,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,32%,34%,34%,12%,15%
H1692,Aetna Medicare,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.",CVS Health Corporation,15%,14%,18%,Not Available,13%
H1722,Healthfirst Medicare Plan,"HEALTHFIRST HEALTH PLAN, INC.","Healthfirst, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1723,Absolute Total Care,"ABSOLUTE TOTAL CARE, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H1732,Empire BlueCross BlueShield,"HEALTHPLUS HP, LLC",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1737,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H1748,"Sonder Health Plan, Inc.","SONDER HEALTH PLANS, INC.","Avian Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1774,Ascension Complete,"CENTENE VENTURE COMPANY INDIANA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1777,ArchCare Advantage,"CATHOLIC SPECIAL NEEDS PLAN, LLC",Catholic Health Care System,Not Available,Not Available,Not Available,Not Available,Not Available
H1787,Great Plains Medicare Advantage,"GOOD SAMARITAN INSURANCE PLAN OF SOUTH DAKOTA, INC",Sanford Health,Not Available,Not Available,Not Available,Not Available,Not Available
H1821,UnitedHealthcare,"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,Trinity Health,Not Available,Not Available,Not Available,Not Available,Not Available
H1848,WellCare,"WELLCARE OF ALABAMA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1862,WellCare,"WELLCARE HEALTH PLANS OF VERMONT, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1889,UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1894,AMERIGROUP,"AMERIGROUP WASHINGTON, INC.",Anthem Inc.,28%,36%,15%,11%,20%
H1914,WellCare,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1924,Lasso Healthcare,"PORT HOLDINGS, INC.","Port Holdings, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H1944,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",23%,25%,29%,10%,12%
H1947,Healthy Blue,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1951,Humana,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,23%,27%,26%,11%,14%
H1961,Peoples Health,"PEOPLES HEALTH, INC.","UnitedHealth Group, Inc.",19%,37%,14%,Not Available,15%
H1969,Regence BlueShield of Idaho,REGENCE BLUESHIELD OF IDAHO,"Cambia Health Solutions, Inc.",11%,16%,29%,7%,8%
H1977,Upper Peninsula Health Plan (UPHP) MI Health Link,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H1993,Astiva Health,"ASTIVA HEALTH, INC.","Astiva Group, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1994,SelectHealth,"SELECTHEALTH, INC.","Intermountain Health Care, Inc.",12%,21%,26%,5%,5%
H1997,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",20%,27%,19%,6%,6%
H2001,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",9%,10%,23%,7%,8%
H2011,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF TENNESSEE,"Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2020,Clear Spring Health,DELAWARE LIFE INSURANCE COMPANY,Group 1001,Not Available,Not Available,Not Available,Not Available,Not Available
H2029,Humana,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H2032,Scott and White Health Plan,INSURANCE COMPANY OF SCOTT AND WHITE,Baylor Scott & White Holdings,15%,22%,33%,7%,8%
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2056,Aetna Medicare,AETNA BETTER HEALTH OF MICHIGAN INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,Cigna,"BRAVO HEALTH MID-ATLANTIC, INC.",CIGNA,24%,34%,29%,15%,19%
H2120,BlueEssential,"SECURITYCARE OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2134,Allwell,"WESTERN SKY COMMUNITY CARE, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H2161,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",10%,21%,22%,9%,5%
H2162,WellCare,"WELLCARE OF NEW HAMPSHIRE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2168,VillageCareMAX,VILLAGE SENIOR SERVICES CORPORATION,"Village Care of New York, Inc.",37%,72%,4%,Not Available,16%
H2171,Care N' Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",Texas Health Resources,43%,42%,13%,Not Available,17%
H2172,Kaiser Permanente,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES,"Kaiser Foundation Health Plan, Inc.",23%,46%,10%,6%,13%
H2174,Trillium Medicare Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Centene Corporation,9%,74%,4%,2%,5%
H2185,LifeWorks Advantage,"LIFEWORKS ADVANTAGE, LLC","MFA Lifeworks, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H2196,UnitedHealthcare,"UNITEDHEALTHCARE OF MISSISSIPPI, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC","Magellan Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2225,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2226,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",20%,27%,4%,Not Available,16%
H2228,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",12%,18%,24%,7%,8%
H2230,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",9%,5%,24%,7%,5%
H2235,BayCare Health Plans,"BAYCARE SELECT HEALTH PLANS, INC.","BayCare Health System, Inc.",23%,30%,22%,Not Available,14%
H2237,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",Independent Care Health Plan Inc.,18%,26%,9%,Not Available,16%
H2241,Golden State,GOLDEN STATE MEDICARE HEALTH PLAN,MacArthur Court Acquisition Corp,25%,41%,11%,10%,15%
H2247,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN, INC.","UnitedHealth Group, Inc.",23%,47%,13%,Not Available,22%
H2256,Tufts Health Plan,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,"Tufts Health Plan, Inc",14%,30%,29%,8%,10%
H2261,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",13%,23%,23%,9%,7%
H2288,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK,"Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2292,UnitedHealthcare,"OXFORD HEALTH INSURANCE, INC.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H2320,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,12%,7%,26%,11%,10%
H2322,HAP Senior Plus (PPO),ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,19%,12%,44%,Not Available,12%
H2334,Clear Spring Health,"EON HEALTH, INC. (SC)",Group 1001,Not Available,Not Available,Not Available,Not Available,Not Available
H2354,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,Henry Ford Health System,10%,19%,33%,7%,10%
H2392,Kansas Health Advantage,"KANSAS SUPERIOR SELECT, INC.",Kansas Superior Select,Not Available,Not Available,Not Available,Not Available,Not Available
