,Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP,Part C Summary,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,Part D Summary,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,Year,Overall
19,H0302,Local CCP,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",4.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,0.0,4.0,4.0,4.0,0.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4.5
20,H0303,Local CCP,"PACIFICARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,0.0,3.5,2.0,4.0,4.0,3.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
21,H0316,Local CCP,"UNITEDHEALTHCARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,3.0,4.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,0.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
22,H0317,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,0.0,3.0,5.0,4.0,0.0,2.0,5.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
23,H0318,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,4.0,0.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,5.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,5.0,5.0,0.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
24,H0319,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,5.0,5.0,0.0,4.0,3.0,5.0,0.0,4.0,5.0,1.0,4.0,2.0,5.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,0.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
25,H0320,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",3.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,0.0,2.5,5.0,1.0,0.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,5.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2.5
26,H0321,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.0,3.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,5.0,4.0,5.0,1.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,5.0,2.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
27,H0332,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,0.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5
29,H0351,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.5,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
30,H0354,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,4.5,2.0,2.0,0.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4.5
31,H0408,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,False
32,H0423,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,5.0,5.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,0.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,1.0,3.5,3.0,1.0,0.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
36,H0490,Local CCP,"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,False
37,H0502,1876 Cost,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Plan,Contra Costa Health Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,0
38,H0504,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,4.0,5.0,5.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,4.0,3.0,2.0,0.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
39,H0523,Local CCP,AETNA HEALTH OF CALIFORNIA INC.,Aetna Medicare,Aetna Inc.,4.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,0.0,3.5,5.0,4.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
40,H0524,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.5,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5
41,H0543,Local CCP,"UHC OF CALIFORNIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,0.0,3.5,2.0,5.0,4.0,3.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
